race_id,venue_slug,date,race_no,banum,player_name,pref,age,term,player_class,running_style,gear,race_score,mark,mark_num,win_rate_4m,top2_rate_4m,top3_rate_4m,nige_4m,maku_4m,close_time,true_line,n_lines,n_players
6220260803020002,hiroshima,2026-08-04,2,1,梶原 大地  福,岡,29,119,A1,逃,3.92,88.92,◎,6,33.3,51.8,62.9,6,8,08:55,1-7-4/2-5/6-3,3,7
6220260803020002,hiroshima,2026-08-04,2,2,渋谷 海  香,川,29,113,A1,逃,3.92,84.81,×,1,23.5,35.2,35.2,2,3,08:55,1-7-4/2-5/6-3,3,7
6220260803020002,hiroshima,2026-08-04,2,3,小林 健  岡,山,55,67,A2,追,3.92,82.08,△,4,8.0,20.0,28.0,0,0,08:55,1-7-4/2-5/6-3,3,7
6220260803020002,hiroshima,2026-08-04,2,4,田中 孝法  福,岡,44,91,A2,追,3.92,76.5,注,2,16.6,22.2,27.7,0,0,08:55,1-7-4/2-5/6-3,3,7
6220260803020002,hiroshima,2026-08-04,2,5,一ノ瀬 貴将  大,阪,40,98,A2,両,3.92,79.3,▲,3,0.0,7.6,23.0,0,0,08:55,1-7-4/2-5/6-3,3,7
6220260803020002,hiroshima,2026-08-04,2,6,柏野 健吾  岡,山,23,127,A2,逃,3.92,73.88,,0,20.0,51.4,51.4,14,4,08:55,1-7-4/2-5/6-3,3,7
6220260803020002,hiroshima,2026-08-04,2,7,西田 大志  福,岡,35,98,A1,追,3.92,88.45,○,5,16.6,50.0,62.5,0,0,08:55,1-7-4/2-5/6-3,3,7
6220260803020003,hiroshima,2026-08-04,3,1,竹田 和幸  岐,阜,49,78,A1,追,3.93,85.55,×,1,11.1,22.2,44.4,0,0,09:15,5-3-4/2/7-1-6,3,7
6220260803020003,hiroshima,2026-08-04,3,2,阿部 功  高,知,42,93,A2,追,3.92,80.09,注,2,5.0,5.0,25.0,0,0,09:15,5-3-4/2/7-1-6,3,7
6220260803020003,hiroshima,2026-08-04,3,3,三木 健治  沖,縄,51,73,A2,追,3.85,80.4,○,5,0.0,9.5,28.5,0,0,09:15,5-3-4/2/7-1-6,3,7
6220260803020003,hiroshima,2026-08-04,3,4,内村 泰三  山,口,52,72,A2,追,3.92,82.24,▲,3,3.4,10.3,27.5,0,0,09:15,5-3-4/2/7-1-6,3,7
6220260803020003,hiroshima,2026-08-04,3,5,高倉 俊宏  福,岡,39,93,A2,両,3.93,81.66,◎,6,7.4,18.5,29.6,1,1,09:15,5-3-4/2/7-1-6,3,7
6220260803020003,hiroshima,2026-08-04,3,6,行成 大祐  香,川,51,80,A2,追,3.92,73.92,,0,3.8,11.5,34.6,0,0,09:15,5-3-4/2/7-1-6,3,7
6220260803020003,hiroshima,2026-08-04,3,7,板橋 慎治  岐,阜,45,95,A2,追,3.92,81.73,△,4,4.3,13.0,34.7,0,0,09:15,5-3-4/2/7-1-6,3,7
6220260803020004,hiroshima,2026-08-04,4,1,森岡 正臣  高,知,51,75,A1,追,3.92,86.55,×,1,5.5,22.2,33.3,0,0,09:35,7-1-3/6/4-2-5,3,7
6220260803020004,hiroshima,2026-08-04,4,2,小川 将人  愛,知,50,75,A2,追,3.92,80.84,○,5,3.8,15.3,26.9,0,0,09:35,7-1-3/6/4-2-5,3,7
6220260803020004,hiroshima,2026-08-04,4,3,三宅 旬  岡,山,49,80,A2,追,3.93,80.45,,0,0.0,16.6,20.8,0,0,09:35,7-1-3/6/4-2-5,3,7
6220260803020004,hiroshima,2026-08-04,4,4,松田 大  富,山,36,98,A1,両,3.92,85.42,◎,6,14.2,42.8,61.9,3,1,09:35,7-1-3/6/4-2-5,3,7
6220260803020004,hiroshima,2026-08-04,4,5,松尾 淳  岐,阜,51,77,A2,追,3.92,80.16,注,2,0.0,0.0,0.0,0,0,09:35,7-1-3/6/4-2-5,3,7
6220260803020004,hiroshima,2026-08-04,4,6,安谷屋 将志  沖,縄,37,96,A2,両,3.93,76.33,▲,3,33.3,50.0,54.1,0,0,09:35,7-1-3/6/4-2-5,3,7
