race_id,date,venue_slug,race_no,classes,n_players,expected_3rentan,true_line,n_lines,line_quality,odds_quality,price_quality,price_usable,context_quality,bet_close_time
6220260803020002,2026-08-04,hiroshima,2,"A1,A2",7,210,1-7-4/2-5/6-3,3,full,full,confirmed,True,full,08:55
6220260803020003,2026-08-04,hiroshima,3,"A1,A2",7,210,5-3-4/2/7-1-6,3,full,full,confirmed,True,full,09:15
6220260803020004,2026-08-04,hiroshima,4,"A1,A2",7,210,7-1-3/6/4-2-5,3,full,full,confirmed,True,full,09:35
6220260803020005,2026-08-04,hiroshima,5,"A1,A2",7,210,5-1/3-4-6/7-2,3,full,full,confirmed,True,full,09:55
6220260803020006,2026-08-04,hiroshima,6,"A1,A2",7,210,4-1-5/7-2/3-6,3,full,full,confirmed,True,full,10:15
6220260803020007,2026-08-04,hiroshima,7,"A1,A2",7,210,4-3/5-1-7/6-2,3,full,full,confirmed,True,full,10:35
7320260804010001,2026-08-04,komatsushima,1,"A1,A2",7,210,1-5-7/4-3/2-6,3,full,full,confirmed,True,full,10:40
7320260804010002,2026-08-04,komatsushima,2,"A1,A2",7,210,1-4/2-5-6/7-3,3,full,full,confirmed,True,full,11:06
7320260804010003,2026-08-04,komatsushima,3,"A1,A2",7,210,7-1/4-2/3-5/6,4,full,full,confirmed,True,full,11:33
7320260804010004,2026-08-04,komatsushima,4,"A1,A2",7,210,1-7-4/2-5/3-6,3,full,full,confirmed,True,full,12:01
7320260804010005,2026-08-04,komatsushima,5,A1,7,210,2-7/4-1/3-5/6,4,full,full,confirmed,True,full,12:29
4220260804010001,2026-08-04,nagoya,1,"A1,A2",7,210,1-7-4/2-5-3/6,3,full,full,confirmed,True,full,15:46
4220260804010002,2026-08-04,nagoya,2,"A1,A2",7,210,5-2-3/6/1-4-7,3,full,full,confirmed,True,full,16:09
4220260804010003,2026-08-04,nagoya,3,"A1,A2",7,210,5-1-6/4/2-7-3,3,full,full,confirmed,True,full,16:33
4220260804010004,2026-08-04,nagoya,4,"A1,A2",7,210,3-2-6/4/7-5-1,3,full,full,confirmed,True,full,16:57
4220260804010005,2026-08-04,nagoya,5,A1,7,210,5-2-7/1/4-3/6,4,full,full,confirmed,True,full,17:21
2620260803020001,2026-08-04,seibuen,1,"A1,A2",7,210,4-1/2-6/3/5/7,5,full,full,confirmed,True,full,16:01
2620260803020002,2026-08-04,seibuen,2,A2,7,210,1-7/4/5-2/3-6,4,full,full,confirmed,True,full,16:23
2620260803020003,2026-08-04,seibuen,3,"A1,A2",7,210,6-3/1-5/2-7/4,4,full,full,confirmed,True,full,16:45
2620260803020004,2026-08-04,seibuen,4,"A1,A2",7,210,7-1-4/5-2/3-6,3,full,full,confirmed,True,full,17:09
2620260803020005,2026-08-04,seibuen,5,"A1,A2",7,210,3-7/1-4/5-2-6,3,full,full,confirmed,True,full,17:33
4820260803020001,2026-08-04,yokkaichi,1,"A1,A2",7,210,3-2-5/6-7-1/4,3,full,full,confirmed,True,full,20:36
4820260803020002,2026-08-04,yokkaichi,2,"A1,A2",7,210,1-2-3/6-4-7/5,3,full,full,confirmed,True,full,21:00
4820260803020003,2026-08-04,yokkaichi,3,"A1,A2",7,210,4-3-2/5-1/6/7,4,full,full,confirmed,True,full,21:24
4820260803020004,2026-08-04,yokkaichi,4,"A1,A2",7,210,1-2-6-3/5-4/7,3,full,full,confirmed,True,full,21:48
4820260803020005,2026-08-04,yokkaichi,5,"A1,A2",7,210,2-6-7/1-4/3-5,3,full,full,confirmed,True,full,22:13
4820260803020006,2026-08-04,yokkaichi,6,A1,7,210,6-2-7/3-1/5-4,3,full,full,confirmed,True,full,22:40
4820260803020007,2026-08-04,yokkaichi,7,"A1,A2",7,210,3-2-6/1-4/5-7,3,full,full,confirmed,True,full,23:07
