race_id,venue_slug,date,race_no,banum,rank,san_ren_tan,san_ren_fuku
6220260803020001,hiroshima,2026-08-04,1,1,2,"2-1-5  1,690円(3)",1=2=5  240円(1)
6220260803020001,hiroshima,2026-08-04,1,2,1,"2-1-5  1,690円(3)",1=2=5  240円(1)
6220260803020001,hiroshima,2026-08-04,1,3,4,"2-1-5  1,690円(3)",1=2=5  240円(1)
6220260803020001,hiroshima,2026-08-04,1,4,6,"2-1-5  1,690円(3)",1=2=5  240円(1)
6220260803020001,hiroshima,2026-08-04,1,5,3,"2-1-5  1,690円(3)",1=2=5  240円(1)
6220260803020001,hiroshima,2026-08-04,1,6,5,"2-1-5  1,690円(3)",1=2=5  240円(1)
6220260803020003,hiroshima,2026-08-04,3,1,4,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020003,hiroshima,2026-08-04,3,2,5,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020003,hiroshima,2026-08-04,3,3,3,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020003,hiroshima,2026-08-04,3,4,2,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020003,hiroshima,2026-08-04,3,5,1,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020003,hiroshima,2026-08-04,3,6,6,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020003,hiroshima,2026-08-04,3,7,7,"5-4-3  2,670円(4)",3=4=5  430円(1)
6220260803020004,hiroshima,2026-08-04,4,1,3,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020004,hiroshima,2026-08-04,4,2,7,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020004,hiroshima,2026-08-04,4,3,5,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020004,hiroshima,2026-08-04,4,4,2,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020004,hiroshima,2026-08-04,4,5,6,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020004,hiroshima,2026-08-04,4,6,4,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020004,hiroshima,2026-08-04,4,7,1,"7-4-1  7,060円(26)",1=4=7  970円(5)
6220260803020005,hiroshima,2026-08-04,5,1,3,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020005,hiroshima,2026-08-04,5,2,2,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020005,hiroshima,2026-08-04,5,3,6,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020005,hiroshima,2026-08-04,5,4,7,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020005,hiroshima,2026-08-04,5,5,4,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020005,hiroshima,2026-08-04,5,6,5,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020005,hiroshima,2026-08-04,5,7,1,"7-2-1  1,160円(1)",1=2=7  280円(1)
6220260803020006,hiroshima,2026-08-04,6,1,2,4-1-5  670円(2),1=4=5  210円(1)
6220260803020006,hiroshima,2026-08-04,6,2,4,4-1-5  670円(2),1=4=5  210円(1)
6220260803020006,hiroshima,2026-08-04,6,3,6,4-1-5  670円(2),1=4=5  210円(1)
6220260803020006,hiroshima,2026-08-04,6,4,1,4-1-5  670円(2),1=4=5  210円(1)
6220260803020006,hiroshima,2026-08-04,6,5,3,4-1-5  670円(2),1=4=5  210円(1)
6220260803020006,hiroshima,2026-08-04,6,6,5,4-1-5  670円(2),1=4=5  210円(1)
6220260803020006,hiroshima,2026-08-04,6,7,7,4-1-5  670円(2),1=4=5  210円(1)
7320260804010003,komatsushima,2026-08-04,3,1,4,"5-2-3  11,270円(32)",2=3=5  540円(2)
7320260804010003,komatsushima,2026-08-04,3,2,2,"5-2-3  11,270円(32)",2=3=5  540円(2)
7320260804010003,komatsushima,2026-08-04,3,3,3,"5-2-3  11,270円(32)",2=3=5  540円(2)
7320260804010003,komatsushima,2026-08-04,3,4,6,"5-2-3  11,270円(32)",2=3=5  540円(2)
7320260804010003,komatsushima,2026-08-04,3,5,1,"5-2-3  11,270円(32)",2=3=5  540円(2)
7320260804010003,komatsushima,2026-08-04,3,6,7,"5-2-3  11,270円(32)",2=3=5  540円(2)
7320260804010003,komatsushima,2026-08-04,3,7,5,"5-2-3  11,270円(32)",2=3=5  540円(2)
4220260804010001,nagoya,2026-08-04,1,1,1,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010001,nagoya,2026-08-04,1,2,4,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010001,nagoya,2026-08-04,1,3,7,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010001,nagoya,2026-08-04,1,4,3,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010001,nagoya,2026-08-04,1,5,6,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010001,nagoya,2026-08-04,1,6,5,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010001,nagoya,2026-08-04,1,7,2,"1-7-4  1,190円(1)",1=4=7  530円(2)
4220260804010002,nagoya,2026-08-04,2,1,3,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010002,nagoya,2026-08-04,2,2,4,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010002,nagoya,2026-08-04,2,3,5,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010002,nagoya,2026-08-04,2,4,1,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010002,nagoya,2026-08-04,2,5,7,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010002,nagoya,2026-08-04,2,6,6,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010002,nagoya,2026-08-04,2,7,2,"4-7-1  1,580円(3)",1=4=7  560円(3)
4220260804010003,nagoya,2026-08-04,3,1,1,1-5-6  540円(2),1=5=6  450円(2)
4220260804010003,nagoya,2026-08-04,3,2,4,1-5-6  540円(2),1=5=6  450円(2)
4220260804010003,nagoya,2026-08-04,3,3,7,1-5-6  540円(2),1=5=6  450円(2)
4220260804010003,nagoya,2026-08-04,3,4,5,1-5-6  540円(2),1=5=6  450円(2)
4220260804010003,nagoya,2026-08-04,3,5,2,1-5-6  540円(2),1=5=6  450円(2)
4220260804010003,nagoya,2026-08-04,3,6,3,1-5-6  540円(2),1=5=6  450円(2)
4220260804010003,nagoya,2026-08-04,3,7,6,1-5-6  540円(2),1=5=6  450円(2)
4220260804010004,nagoya,2026-08-04,4,1,5,"7-5-3  1,650円(4)",3=5=7  260円(1)
4220260804010004,nagoya,2026-08-04,4,2,4,"7-5-3  1,650円(4)",3=5=7  260円(1)
4220260804010004,nagoya,2026-08-04,4,3,3,"7-5-3  1,650円(4)",3=5=7  260円(1)
4220260804010004,nagoya,2026-08-04,4,4,7,"7-5-3  1,650円(4)",3=5=7  260円(1)
4220260804010004,nagoya,2026-08-04,4,5,2,"7-5-3  1,650円(4)",3=5=7  260円(1)
4220260804010004,nagoya,2026-08-04,4,6,6,"7-5-3  1,650円(4)",3=5=7  260円(1)
4220260804010004,nagoya,2026-08-04,4,7,1,"7-5-3  1,650円(4)",3=5=7  260円(1)
2620260803020002,seibuen,2026-08-04,2,1,2,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020002,seibuen,2026-08-04,2,2,4,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020002,seibuen,2026-08-04,2,3,1,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020002,seibuen,2026-08-04,2,4,6,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020002,seibuen,2026-08-04,2,5,5,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020002,seibuen,2026-08-04,2,6,3,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020002,seibuen,2026-08-04,2,7,7,"3-1-6  10,920円(43)","1=3=6  1,510円(6)"
2620260803020003,seibuen,2026-08-04,3,1,6,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020003,seibuen,2026-08-04,3,2,5,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020003,seibuen,2026-08-04,3,3,7,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020003,seibuen,2026-08-04,3,4,2,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020003,seibuen,2026-08-04,3,5,1,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020003,seibuen,2026-08-04,3,6,3,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020003,seibuen,2026-08-04,3,7,4,"5-4-6  177,800円(206)","4=5=6  16,630円(34)"
2620260803020005,seibuen,2026-08-04,5,1,6,"5-7-3  3,100円(11)",3=5=7  400円(2)
2620260803020005,seibuen,2026-08-04,5,2,7,"5-7-3  3,100円(11)",3=5=7  400円(2)
2620260803020005,seibuen,2026-08-04,5,3,3,"5-7-3  3,100円(11)",3=5=7  400円(2)
2620260803020005,seibuen,2026-08-04,5,4,5,"5-7-3  3,100円(11)",3=5=7  400円(2)
2620260803020005,seibuen,2026-08-04,5,5,1,"5-7-3  3,100円(11)",3=5=7  400円(2)
2620260803020005,seibuen,2026-08-04,5,6,4,"5-7-3  3,100円(11)",3=5=7  400円(2)
2620260803020005,seibuen,2026-08-04,5,7,2,"5-7-3  3,100円(11)",3=5=7  400円(2)
4820260803020003,yokkaichi,2026-08-04,3,1,3,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020003,yokkaichi,2026-08-04,3,2,5,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020003,yokkaichi,2026-08-04,3,3,4,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020003,yokkaichi,2026-08-04,3,4,1,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020003,yokkaichi,2026-08-04,3,5,7,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020003,yokkaichi,2026-08-04,3,6,2,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020003,yokkaichi,2026-08-04,3,7,6,"4-6-1  19,560円(60)","1=4=6  3,440円(11)"
4820260803020006,yokkaichi,2026-08-04,6,1,5,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
4820260803020006,yokkaichi,2026-08-04,6,2,3,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
4820260803020006,yokkaichi,2026-08-04,6,3,2,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
4820260803020006,yokkaichi,2026-08-04,6,4,6,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
4820260803020006,yokkaichi,2026-08-04,6,5,7,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
4820260803020006,yokkaichi,2026-08-04,6,6,1,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
4820260803020006,yokkaichi,2026-08-04,6,7,4,"6-3-2  12,080円(40)","2=3=6  1,520円(5)"
6220260803030002,hiroshima,2026-08-05,2,1,2,3-1-7  500円(1),1=3=7  200円(1)
6220260803030002,hiroshima,2026-08-05,2,2,5,3-1-7  500円(1),1=3=7  200円(1)
6220260803030002,hiroshima,2026-08-05,2,3,1,3-1-7  500円(1),1=3=7  200円(1)
6220260803030002,hiroshima,2026-08-05,2,4,6,3-1-7  500円(1),1=3=7  200円(1)
6220260803030002,hiroshima,2026-08-05,2,5,4,3-1-7  500円(1),1=3=7  200円(1)
6220260803030002,hiroshima,2026-08-05,2,6,7,3-1-7  500円(1),1=3=7  200円(1)
6220260803030002,hiroshima,2026-08-05,2,7,3,3-1-7  500円(1),1=3=7  200円(1)
6220260803030004,hiroshima,2026-08-05,4,1,1,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030004,hiroshima,2026-08-05,4,2,6,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030004,hiroshima,2026-08-05,4,3,2,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030004,hiroshima,2026-08-05,4,4,4,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030004,hiroshima,2026-08-05,4,5,3,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030004,hiroshima,2026-08-05,4,6,7,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030004,hiroshima,2026-08-05,4,7,5,"1-3-5  4,070円(9)",1=3=5  850円(3)
6220260803030005,hiroshima,2026-08-05,5,1,6,"2-3-7  6,350円(22)",2=3=7  960円(4)
6220260803030005,hiroshima,2026-08-05,5,2,1,"2-3-7  6,350円(22)",2=3=7  960円(4)
6220260803030005,hiroshima,2026-08-05,5,3,2,"2-3-7  6,350円(22)",2=3=7  960円(4)
6220260803030005,hiroshima,2026-08-05,5,4,4,"2-3-7  6,350円(22)",2=3=7  960円(4)
6220260803030005,hiroshima,2026-08-05,5,5,7,"2-3-7  6,350円(22)",2=3=7  960円(4)
6220260803030005,hiroshima,2026-08-05,5,6,5,"2-3-7  6,350円(22)",2=3=7  960円(4)
6220260803030005,hiroshima,2026-08-05,5,7,3,"2-3-7  6,350円(22)",2=3=7  960円(4)
7320260804020001,komatsushima,2026-08-05,1,1,7,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
7320260804020001,komatsushima,2026-08-05,1,2,4,"6-4-7  77,800円(135)","4=6=7  15,960円(31)"
