month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
2024_06,1220240601020001,BASE,5,0,monthly,,,,3-5-7,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_06,1220240601020001,OH_HIGH,5,0,monthly,1-2-3,3-1-2,3-1-2,3-5-7,0,1,0,100,0,BET
2024_06,1220240601030001,BASE,1,0,monthly,3-4-7,4-7-3,4-7-3,1-5-3,0,1,0,100,0,BET
2024_06,1220240601030001,OH_HIGH,1,0,monthly,,,,1-5-3,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_06,1220240601020002,BASE,3,0,monthly,2-4-7,7-4-2,7-4-2,2-3-7,0,1,0,100,0,BET
2024_06,1220240601020002,OH_HIGH,3,0,monthly,,,,2-3-7,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_06,1220240601030002,BASE,3,0,monthly,1-4-7,1-7-4,1-7-4,1-4-3,0,1,0,100,0,BET
2024_06,1220240601030002,OH_HIGH,3,0,monthly,1-4-7|1-5-7,1-7-4|1-7-5,1-7-4|1-7-5,1-4-3,0,1,0,200,0,BET
2024_06,1220240601020003,BASE,5,0,monthly,3-4-7,7-3-4,7-3-4,7-4-5,0,1,0,100,0,BET
2024_06,1220240601020003,OH_HIGH,5,0,monthly,3-4-7,7-3-4,7-3-4,7-4-5,0,1,0,100,0,BET
2024_06,1220240601030003,BASE,1,1,monthly,4-5-7,7-5-4,7-5-4,2-7-5,0,1,0,100,0,BET
2024_06,1220240601030003,OH_HIGH,1,1,monthly,4-5-7,7-5-4,7-5-4,2-7-5,0,1,0,100,0,BET
2024_06,1220240601020004,BASE,1,0,monthly,2-3-7,7-2-3,,2-7-1,0,0,0,0,0,odds_too_low
2024_06,1220240601020004,OH_HIGH,1,0,monthly,2-3-7,7-2-3,,2-7-1,0,0,0,0,0,odds_too_low
2024_06,1220240601010005,BASE,2,0,monthly,3-5-7,5-3-7,5-3-7,2-5-6,0,1,0,100,0,BET
2024_06,1220240601010005,OH_HIGH,2,0,monthly,3-5-7,5-3-7,5-3-7,2-5-6,0,1,0,100,0,BET
2024_06,1220240601030005,BASE,3,0,monthly,4-5-7,7-4-5,7-4-5,4-5-3,0,1,0,100,0,BET
2024_06,1220240601030005,OH_HIGH,3,0,monthly,2-4-7,7-4-2,7-4-2,4-5-3,0,1,0,100,0,BET
2024_06,1220240601020006,BASE,5,1,monthly,1-2-4,2-4-1,2-4-1,3-2-7,0,1,0,100,0,BET
2024_06,1220240601020006,OH_HIGH,5,1,monthly,2-4-7|1-2-7,2-4-7|2-7-1,2-4-7|2-7-1,3-2-7,0,1,0,200,0,BET
2024_06,1220240601030006,BASE,5,1,monthly,1-2-4,2-1-4,2-1-4,6-4-3,0,1,0,100,0,BET
2024_06,1220240601030006,OH_HIGH,5,1,monthly,1-2-4,2-1-4,2-1-4,6-4-3,0,1,0,100,0,BET
2024_06,1220240601010007,BASE,1,0,monthly,3-4-7,4-7-3,4-7-3,1-3-4,0,1,0,100,0,BET
2024_06,1220240601010007,OH_HIGH,1,0,monthly,4-5-7,4-7-5,4-7-5,1-3-4,0,1,0,100,0,BET
2024_06,1220240601030007,BASE,1,1,monthly,3-4-7,4-3-7,4-3-7,2-5-3,0,1,0,100,0,BET
2024_06,1220240601030007,OH_HIGH,1,1,monthly,3-4-7,4-3-7,4-3-7,2-5-3,0,1,0,100,0,BET
2024_06,8620240601020008,BASE,3,0,monthly,,,,3-4-6,0,0,0,0,0,ranking_cycle
2024_06,8620240601020008,OH_HIGH,3,0,monthly,,,,3-4-6,0,0,0,0,0,ranking_cycle
2024_06,8620240601030008,BASE,6,1,monthly,1-2-4|2-4-7,2-4-1|2-4-7,,4-2-1,1,0,0,0,0,odds_too_low
2024_06,8620240601030008,OH_HIGH,6,1,monthly,1-2-4|2-4-7,2-4-1|2-4-7,,4-2-1,1,0,0,0,0,odds_too_low
2024_06,8620240601020009,BASE,1,1,monthly,2-3-4|2-4-5,4-2-3|4-2-5,4-2-5,4-7-2,0,1,0,100,0,BET
2024_06,8620240601020009,OH_HIGH,1,1,monthly,2-4-7,4-2-7,,4-7-2,1,0,0,0,0,odds_too_low
2024_06,8620240601030009,BASE,1,0,monthly,2-3-5,5-3-2,5-3-2,1-5-3,0,1,0,100,0,BET
2024_06,8620240601030009,OH_HIGH,1,0,monthly,2-5-7,5-2-7,5-2-7,1-5-3,0,1,0,100,0,BET
2024_06,8620240601010010,BASE,5,0,monthly,2-3-7,2-3-7,2-3-7,3-2-5,0,1,0,100,0,BET
2024_06,8620240601010010,OH_HIGH,5,0,monthly,2-3-7|2-3-6,2-3-7|2-3-6,2-3-7|2-3-6,3-2-5,0,1,0,200,0,BET
2024_06,8620240601010011,BASE,2,0,monthly,3-4-5,3-4-5,3-4-5,2-7-4,0,1,0,100,0,BET
2024_06,8620240601010011,OH_HIGH,2,0,monthly,3-4-5,3-4-5,3-4-5,2-7-4,0,1,0,100,0,BET
2024_06,8620240601020011,BASE,2,0,monthly,1-3-5|3-5-7,5-1-3|5-3-7,5-1-3|5-3-7,4-5-2,0,1,0,200,0,BET
2024_06,8620240601020011,OH_HIGH,2,0,monthly,1-3-5|3-5-7,5-1-3|5-3-7,5-1-3|5-3-7,4-5-2,0,1,0,200,0,BET
2024_06,8620240601010012,BASE,1,0,monthly,4-5-7,5-4-7,,5-1-4,0,0,0,0,0,odds_too_low
2024_06,8620240601010012,OH_HIGH,1,0,monthly,,,,5-1-4,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_06,8620240601020012,BASE,1,0,monthly,4-5-7,4-5-7,4-5-7,4-7-1,0,1,0,100,0,BET
2024_06,8620240601020012,OH_HIGH,1,0,monthly,4-5-7|2-4-5,4-5-7|4-5-2,4-5-7|4-5-2,4-7-1,0,1,0,200,0,BET
2024_06,4320240601030008,BASE,5,0,monthly,1-3-4,3-1-4,,5-3-4,0,0,0,0,0,odds_too_low
2024_06,4320240601030008,OH_HIGH,5,0,monthly,1-3-4,3-1-4,,5-3-4,0,0,0,0,0,odds_too_low
2024_06,4320240601010009,BASE,5,1,monthly,2-4-7,2-7-4,2-7-4,1-7-3,0,1,0,100,0,BET
2024_06,4320240601010009,OH_HIGH,5,1,monthly,2-3-7|2-3-4,2-7-3|2-3-4,2-7-3|2-3-4,1-7-3,0,1,0,200,0,BET
2024_06,4320240601020009,BASE,1,0,monthly,2-4-7|4-6-7,4-7-2|4-7-6,4-7-2|4-7-6,1-4-3,0,1,0,200,0,BET
2024_06,4320240601020009,OH_HIGH,1,0,monthly,3-4-7|4-5-7,4-7-3|4-7-5,4-7-3|4-7-5,1-4-3,0,1,0,200,0,BET
2024_06,4320240601030009,BASE,5,0,monthly,1-2-7,7-1-2,,7-4-5,0,0,0,0,0,odds_too_low
2024_06,4320240601030009,OH_HIGH,5,0,monthly,1-2-7,7-1-2,,7-4-5,0,0,0,0,0,odds_too_low
2024_06,4320240601010010,BASE,4,0,monthly,1-5-7,7-1-5,7-1-5,1-4-5,0,1,0,100,0,BET
2024_06,4320240601010010,OH_HIGH,4,0,monthly,1-5-7,7-1-5,7-1-5,1-4-5,0,1,0,100,0,BET
2024_06,4320240601020010,BASE,4,0,monthly,2-3-5,5-3-2,,4-7-2,0,0,0,0,0,odds_too_low
2024_06,4320240601020010,OH_HIGH,4,0,monthly,3-5-7,5-3-7,,4-7-2,0,0,0,0,0,odds_too_low
2024_06,4320240601010012,BASE,2,1,monthly,,,,1-5-4,0,0,0,0,0,ranking_cycle
2024_06,4320240601010012,OH_HIGH,2,1,monthly,,,,1-5-4,0,0,0,0,0,ranking_cycle
2024_06,2220240601040009,BASE,1,0,monthly,,,,1-7-5,0,0,0,0,0,ranking_cycle
2024_06,2220240601040009,OH_HIGH,1,0,monthly,,,,1-7-5,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_06,5420240601010001,BASE,1,0,monthly,3-4-5,5-3-4,5-3-4,5-1-4,0,1,0,100,0,BET
2024_06,5420240601010001,OH_HIGH,1,0,monthly,2-3-5,5-3-2,5-3-2,5-1-4,0,1,0,100,0,BET
2024_06,5420240601020001,BASE,1,1,monthly,4-5-7|3-4-5,5-7-4|5-4-3,5-4-3,5-6-7,0,1,0,100,0,BET
2024_06,5420240601020001,OH_HIGH,1,1,monthly,4-5-7|3-4-5,5-7-4|5-4-3,5-4-3,5-6-7,0,1,0,100,0,BET
2024_06,5420240601030001,BASE,1,0,monthly,4-5-7,5-4-7,5-4-7,1-5-4,0,1,0,100,0,BET
2024_06,5420240601030001,OH_HIGH,1,0,monthly,2-4-5,5-2-4,5-2-4,1-5-4,0,1,0,100,0,BET
2024_06,5420240601020002,BASE,4,1,monthly,1-5-7|1-2-7,7-1-5|7-1-2,7-1-5|7-1-2,5-3-7,0,1,0,200,0,BET
2024_06,5420240601020002,OH_HIGH,4,1,monthly,1-5-7,7-1-5,7-1-5,5-3-7,0,1,0,100,0,BET
2024_06,5420240601010003,BASE,7,0,monthly,2-3-4|1-2-4,2-3-4|2-4-1,2-3-4|2-4-1,7-5-4,0,1,0,200,0,BET
2024_06,5420240601010003,OH_HIGH,7,0,monthly,2-4-5,2-4-5,2-4-5,7-5-4,0,1,0,100,0,BET
2024_06,5420240601030003,BASE,7,0,monthly,1-2-4,4-1-2,4-1-2,7-6-1,0,1,0,100,0,BET
2024_06,5420240601030003,OH_HIGH,7,0,monthly,,,,7-6-1,0,0,0,0,0,ranking_cycle
2024_06,5420240601010004,BASE,1,0,monthly,4-5-7,7-5-4,7-5-4,1-7-5,0,1,0,100,0,BET
2024_06,5420240601010004,OH_HIGH,1,0,monthly,4-5-7,7-5-4,7-5-4,1-7-5,0,1,0,100,0,BET
2024_06,5420240601030004,BASE,1,1,monthly,4-5-7,4-5-7,4-5-7,4-3-6,0,1,0,100,0,BET
2024_06,5420240601030004,OH_HIGH,1,1,monthly,4-5-7,4-5-7,4-5-7,4-3-6,0,1,0,100,0,BET
2024_06,5420240601010005,BASE,4,0,monthly,1-2-6|1-5-6,1-6-2|1-6-5,1-6-2|1-6-5,1-6-4,0,1,0,200,0,BET
2024_06,5420240601010005,OH_HIGH,4,0,monthly,,,,1-6-4,0,0,0,0,0,cannot_compress_multiple_ambiguities
2024_06,5420240601020005,BASE,3,1,monthly,1-2-5,5-1-2,5-1-2,1-5-4,0,1,0,100,0,BET
2024_06,5420240601020005,OH_HIGH,3,1,monthly,1-4-5|1-5-7,5-1-4|5-1-7,,1-5-4,1,0,0,0,0,odds_too_low
2024_06,5320240601030001,BASE,3,0,monthly,1-2-7,1-2-7,1-2-7,3-1-2,0,1,0,100,0,BET
2024_06,5320240601030001,OH_HIGH,3,0,monthly,,,,3-1-2,0,0,0,0,0,cannot_compress_third_slot_too_wide
2024_06,5320240601010002,BASE,1,0,monthly,2-3-4,4-2-3,4-2-3,1-4-2,0,1,0,100,0,BET
2024_06,5320240601010002,OH_HIGH,1,0,monthly,2-3-4,4-2-3,4-2-3,1-4-2,0,1,0,100,0,BET
2024_06,5320240601020002,BASE,1,0,monthly,,,,2-1-4,0,0,0,0,0,ranking_cycle
2024_06,5320240601020002,OH_HIGH,1,0,monthly,2-4-6,2-4-6,2-4-6,2-1-4,0,1,0,100,0,BET
2024_06,5320240601030002,BASE,2,0,monthly,1-3-5|1-4-5,1-5-3|1-5-4,1-5-3|1-5-4,1-3-2,0,1,0,200,0,BET
2024_06,5320240601030002,OH_HIGH,2,0,monthly,1-5-6,1-5-6,1-5-6,1-3-2,0,1,0,100,0,BET
2024_06,5320240601010003,BASE,5,0,monthly,1-2-3,1-2-3,,1-5-2,0,0,0,0,0,odds_too_low
2024_06,5320240601010003,OH_HIGH,5,0,monthly,1-2-3,1-2-3,,1-5-2,0,0,0,0,0,odds_too_low
2024_06,5320240601020003,BASE,5,0,monthly,1-2-4|1-3-4,1-2-4|1-3-4,1-2-4,6-5-4,0,1,0,100,0,BET
2024_06,5320240601020003,OH_HIGH,5,0,monthly,1-2-3,1-2-3,1-2-3,6-5-4,0,1,0,100,0,BET
2024_06,5320240601030003,BASE,5,0,monthly,1-2-4|1-3-4,1-2-4|1-3-4,1-2-4|1-3-4,2-5-1,0,1,0,200,0,BET
2024_06,5320240601030003,OH_HIGH,5,0,monthly,1-2-3,1-2-3,1-2-3,2-5-1,0,1,0,100,0,BET
2024_06,5320240601010004,BASE,2,0,monthly,1-4-5,1-5-4,1-5-4,2-1-5,0,1,0,100,0,BET
2024_06,5320240601010004,OH_HIGH,2,0,monthly,1-3-5,1-3-5,1-3-5,2-1-5,0,1,0,100,0,BET
2024_06,5320240601020004,BASE,2,0,monthly,1-4-5,1-5-4,1-5-4,2-5-1,0,1,0,100,0,BET
2024_06,5320240601020004,OH_HIGH,2,0,monthly,1-3-5,1-3-5,,2-5-1,0,0,0,0,0,odds_too_low
2024_06,5320240601030004,BASE,2,0,monthly,,,,2-1-7,0,0,0,0,0,ranking_cycle
2024_06,5320240601030004,OH_HIGH,2,0,monthly,1-3-5,1-3-5,1-3-5,2-1-7,0,1,0,100,0,BET
