race_id,date,venue,race_no,line,target,result_source,head_bust,candidate_sets,orders,bets,bet_odds,actual,set_match,order_match,bet_hit,stake,pay
1120250701020001,2025-07-01,hakodate,1,5-1-4/2-3/7-6,5,monthly,0,1-2-3,1-2-3,1-2-3,114.80,1-4-5,0,0,0,100,0
1120250701010002,2025-07-01,hakodate,2,5-2/4-3/7-1-6,7,monthly,0,1-2-6,1-2-6,1-2-6,145.20,7-1-6,0,0,0,100,0
1120250701020002,2025-07-01,hakodate,2,5-2/4-3/7-1-6,4,monthly,0,1-2-3,3-1-2,3-1-2,371.80,4-1-2,0,0,0,100,0
1120250701030002,2025-07-01,hakodate,2,5-2/4-3/1-6,5,monthly,0,1-2-3,2-1-3,2-1-3,133.20,5-4-2,0,0,0,100,0
1120250701020003,2025-07-01,hakodate,3,4-2/7/5/6-1-3,6,monthly,1,1-2-3,1-2-3,1-2-3,123.30,5-1-3,0,0,0,100,0
1120250701020005,2025-07-01,hakodate,5,6-1/4-3/5-2-7,6,monthly,0,1-2-3,1-2-3,1-2-3,102.90,3-2-6,0,0,0,100,0
1120250701030006,2025-07-01,hakodate,6,2-1/6-4/3-5/7,2,monthly,1,1-4-5,1-4-5,1-4-5,278.50,1-4-6,0,0,0,100,0
1120250701010007,2025-07-01,hakodate,7,1-5-7/3-4/6-2,1,monthly,0,2-3-4,2-3-4,2-3-4,48.00,4-3-1,0,0,0,100,0
4220250701010001,2025-07-01,nagoya,1,7-1-5/4-2-3/6,7,monthly,1,1-2-5,1-2-5,1-2-5,84.50,1-5-2,1,0,0,100,0
4220250701030001,2025-07-01,nagoya,1,1-5/4-2-3/6,1,monthly,0,3-4-5,5-3-4,5-3-4,246.10,3-5-1,0,0,0,100,0
4220250701020002,2025-07-01,nagoya,2,2-5-4/7-1-3/6,2,monthly,1,3-4-5|1-4-5,5-4-3|5-4-1,5-4-3|5-4-1,2367.90|853.30,1-4-6,0,0,0,200,0
4220250701030002,2025-07-01,nagoya,2,2-5-4/7-1-3/6,2,monthly,1,1-5-7,5-1-7,5-1-7,38.70,6-7-4,0,0,0,100,0
4220250701010003,2025-07-01,nagoya,3,6-2/1-4-7/5-3,1,monthly,0,2-4-7,4-2-7,4-2-7,422.10,4-1-2,0,0,0,100,0
4220250701020003,2025-07-01,nagoya,3,6-2/1-4-7/5-3,1,monthly,0,3-4-7,3-4-7,3-4-7,63.10,3-7-1,0,0,0,100,0
4220250701030003,2025-07-01,nagoya,3,6-2/1-4-7/5-3,1,monthly,0,3-4-5|2-4-5,5-4-3|5-4-2,5-4-3|5-4-2,285.10|95.70,5-1-4,0,0,0,200,0
4220250701020004,2025-07-01,nagoya,4,4-2-5/1-7-3/6,1,monthly,1,3-5-7,7-5-3,7-5-3,50.60,5-2-4,0,0,0,100,0
4220250701010005,2025-07-01,nagoya,5,5-1/4-2-7/6-3,4,monthly,1,1-3-5,5-3-1,5-3-1,144.40,5-6-1,0,0,0,100,0
4220250701020005,2025-07-01,nagoya,5,5-1/4-2-7/6-3,4,monthly,1,2-3-7,7-3-2,7-3-2,73.70,3-7-5,0,0,0,100,0
4220250701030011,2025-07-01,nagoya,11,7-5-3/1-4/6-2,6,monthly,1,2-5-7,7-2-5,7-2-5,77.10,2-1-4,0,0,0,100,0
2220250702010007,2025-07-02,maebashi,7,1-5-3/4-2-7/6,4,monthly,1,1-2-7,2-1-7,2-1-7,71.60,1-5-3,0,0,0,100,0
2220250702020008,2025-07-02,maebashi,8,5-1/3/6-2-4/7,6,monthly,0,1-2-4,2-1-4,2-1-4,44.10,2-4-6,0,0,0,100,0
2220250702030008,2025-07-02,maebashi,8,5-1/3/6-2-4/7,5,monthly,1,1-3-4|1-4-7,1-3-4|1-7-4,1-3-4|1-7-4,156.90|115.40,1-2-6,0,0,0,200,0
2220250702010010,2025-07-02,maebashi,10,1-7/4-2-5/6-3,1,monthly,0,2-3-7,7-2-3,7-2-3,241.30,7-1-2,0,0,0,100,0
2820250702010001,2025-07-02,tachikawa,1,6-1/7-4-2/3-5,7,monthly,1,3-4-5,4-5-3,4-5-3,139.30,5-3-2,0,0,0,100,0
2820250702020001,2025-07-02,tachikawa,1,6-1/4-2/3-5,4,monthly,0,1-2-5,1-2-5,1-2-5,257.20,4-2-3,0,0,0,100,0
2820250702030002,2025-07-02,tachikawa,2,5-3-6/7-1/2-4,2,monthly,1,1-3-4,1-4-3,1-4-3,125.60,1-3-4,1,0,0,100,0
2820250702020003,2025-07-02,tachikawa,3,1-4/5-2/3-7/6,3,monthly,0,2-5-7,7-2-5,7-2-5,188.10,3-5-7,0,0,0,100,0
2820250702030003,2025-07-02,tachikawa,3,1-4/5-2/3-7/6,1,monthly,0,2-3-4|3-4-7,4-3-2|4-3-7,4-3-2|4-3-7,109.00|55.40,4-1-7,0,0,0,200,0
2820250702030008,2025-07-02,tachikawa,8,4-7-1/3-5-2/6,4,monthly,1,1-3-5,1-3-5,1-3-5,404.40,7-1-5,0,0,0,100,0
8620250704030001,2025-07-04,beppu,1,4/6-3/1-7/5-2,5,monthly,0,1-2-3,2-1-3,2-1-3,69.60,5-1-3,0,0,0,100,0
8620250704010002,2025-07-04,beppu,2,5/2-6/7-3/4-1,7,monthly,1,1-3-4,3-4-1,3-4-1,117.60,4-1-2,0,0,0,100,0
8620250704020002,2025-07-04,beppu,2,5/2-6/7-3/4-1,7,monthly,1,1-2-3,3-2-1,3-2-1,45.00,3-2-4,0,0,0,100,0
8620250704030002,2025-07-04,beppu,2,5/2-6/7-3/4-1,7,monthly,0,1-2-3,2-3-1,2-3-1,169.10,2-7-3,0,0,0,100,0
8620250704010003,2025-07-04,beppu,3,5-3/7-2-6/1-4,7,monthly,0,2-4-5,2-5-4,2-5-4,757.10,7-2-5,0,0,0,100,0
8620250704020003,2025-07-04,beppu,3,5-3/7-2-6/1-4,1,monthly,1,2-4-7,7-4-2,7-4-2,94.80,7-2-4,1,0,0,100,0
