month,race_id,date,venue,race_no,line,target,actual,candidate_sets,best_overlap,n_best_variants,miss_roles,extra_roles,one_replacement,extra_frame,extra_role,missing_frame,missing_role,score_gap_missing_minus_extra,detail
2025_05,8520250501020005,2025-05-01,sasebo,5,4-3-1/6/5-7-2,5,7-4-3,1-2-7,1,1,other_head|other_pos2,other_pos3plus|popular_pos3plus,0,,,,,,
2025_05,2420250501030001,2025-05-01,utsunomiya,1,1-2-6/4-3/5-7,5,4-3-2,1-2-3,2,1,other_head,other_head,1,1,other_head,4,other_head,-3.519999999999996,extra1:other_head:s86.47->miss4:other_head:s82.95:gap-3.52
2025_05,2120250501010007,2025-05-01,yahiko,7,1-5/7-2/4/6-3,7,1-5-4,1-2-5,2,1,solo,popular_pos2,1,2,popular_pos2,4,solo,-1.1400000000000006,extra2:popular_pos2:s85.47->miss4:solo:s84.33:gap-1.14
2025_05,2120250501020007,2025-05-01,yahiko,7,1-5/7-2/4/6-3,1,5-6-4,3-4-5,2,1,other_head,other_pos2,1,3,other_pos2,6,other_head,-2.6499999999999915,extra3:other_pos2:s80.80->miss6:other_head:s78.15:gap-2.65
2025_05,5120250502020002,2025-05-02,fukui,2,4-1-5/7-3/2-6,4,7-1-5,1-2-5,2,1,other_head,other_head,1,2,other_head,7,other_head,-4.549999999999997,extra2:other_head:s88.27->miss7:other_head:s83.72:gap-4.55
2025_05,5120250502030002,2025-05-02,fukui,2,4-1-5/3/2-6,4,5-1-6,1-3-6,2,1,popular_pos3plus,solo,1,3,solo,5,popular_pos3plus,-9.61,extra3:solo:s88.27->miss5:popular_pos3plus:s78.66:gap-9.61
2025_05,5120250502010005,2025-05-02,fukui,5,1-5-7/4-2/3/6,4,5-7-1,2-5-7,2,1,other_head,popular_pos2,1,2,popular_pos2,1,other_head,-1.0499999999999972,extra2:popular_pos2:s94.05->miss1:other_head:s93.00:gap-1.05
2025_05,1120250502020002,2025-05-02,hakodate,2,4-3/2-7/6-1/5,2,7-6-1,1-3-7,2,1,other_head,other_pos2,1,3,other_pos2,6,other_head,-11.899999999999991,extra3:other_pos2:s88.66->miss6:other_head:s76.76:gap-11.90
2025_06,3120250601030004,2025-06-01,matsudo,4,1-2-7/6-3/4-5,1,6-4-3,2-3-5,1,1,other_head,other_pos2|popular_pos2,0,,,,,,
2025_06,3120250601030005,2025-06-01,matsudo,5,1-3-6/2-5/7-4,1,5-3-2,3-4-5,2,1,other_head,other_pos2,1,4,other_pos2,2,other_head,1.519999999999996,extra4:other_pos2:s86.89->miss2:other_head:s88.41:gap+1.52
2025_06,3120250601020007,2025-06-01,matsudo,7,6-1/3/5/7-4-2,7,1-2-5,1-2-4,2,1,solo,popular_pos2,1,4,popular_pos2,5,solo,-0.3400000000000034,extra4:popular_pos2:s88.00->miss5:solo:s87.66:gap-0.34
2025_06,5120250602020001,2025-06-02,fukui,1,1-4-6/3/5-2-7,1,4-6-2,4-6-7,2,1,other_pos2,other_pos3plus,1,7,other_pos3plus,2,other_pos2,-1.1700000000000017,extra7:other_pos3plus:s80.50->miss2:other_pos2:s79.33:gap-1.17
2025_06,5120250602030001,2025-06-02,fukui,1,1-4-6/3/5-2-7,5,3-4-2,2-3-7,2,1,other_pos2,popular_pos3plus,1,7,popular_pos3plus,4,other_pos2,-1.9200000000000017,extra7:popular_pos3plus:s81.25->miss4:other_pos2:s79.33:gap-1.92
