month,race_id,date,venue_slug,race_no,b1,b2,b1_line_pos,b2_line_pos,b1_score,b2_score,pair_score_sum,pair_score_percentile,actual_hit,odds,market_p,odds_source_url,snapshot_kind
2025_01,3720250101030002,2025-01-01,ito,2,5,6,1,2,85.16,71.96,157.12,0.6666666666666666,0,19.4,0.038446639402605946,https://keirin.kdreams.jp/ito/racedetail/3720250101030002/?pageType=result,confirmed_final
2025_01,3720250101030004,2025-01-01,ito,4,1,5,2,2,85.16,83.7,168.86,0.6666666666666666,0,20.3,0.036740655337357236,https://keirin.kdreams.jp/ito/racedetail/3720250101030004/?pageType=result,confirmed_final
2025_01,3720250101030004,2025-01-01,ito,4,5,1,2,2,83.7,85.16,168.86,0.6666666666666666,0,17.9,0.04166677672337162,https://keirin.kdreams.jp/ito/racedetail/3720250101030004/?pageType=result,confirmed_final
2025_01,4420250102020006,2025-01-02,ogaki,6,2,3,1,2,94.6,91.5,186.1,0.14285714285714285,0,2.5,0.2982358827557091,https://keirin.kdreams.jp/ogaki/racedetail/4420250102020006/?pageType=result,confirmed_final
2025_01,4420250102020006,2025-01-02,ogaki,6,2,5,1,2,94.6,86.38,180.98,0.3333333333333333,0,28.1,0.026533441526308633,https://keirin.kdreams.jp/ogaki/racedetail/4420250102020006/?pageType=result,confirmed_final
2025_01,7320250103010011,2025-01-03,komatsushima,11,2,5,2,2,80.9,87.62,168.52,0.47619047619047616,0,179.4,0.004073036484921548,https://keirin.kdreams.jp/komatsushima/racedetail/7320250103010011/?pageType=result,confirmed_final
2025_01,7320250103010011,2025-01-03,komatsushima,11,2,6,2,2,80.9,78.9,159.8,1.0,0,538.4,0.0013571744899608577,https://keirin.kdreams.jp/komatsushima/racedetail/7320250103010011/?pageType=result,confirmed_final
2025_01,7320250103010011,2025-01-03,komatsushima,11,6,2,2,2,78.9,80.9,159.8,1.0,0,425.0,0.0017193005773998252,https://keirin.kdreams.jp/komatsushima/racedetail/7320250103010011/?pageType=result,confirmed_final
2025_01,7320250103010011,2025-01-03,komatsushima,11,6,5,2,2,78.9,87.62,166.52,0.5714285714285714,0,237.5,0.0030766431385049506,https://keirin.kdreams.jp/komatsushima/racedetail/7320250103010011/?pageType=result,confirmed_final
2025_01,7320250103010011,2025-01-03,komatsushima,11,7,5,1,2,82.72,87.62,170.34,0.3333333333333333,0,118.7,0.006155878225736527,https://keirin.kdreams.jp/komatsushima/racedetail/7320250103010011/?pageType=result,confirmed_final
