month,period,race_id,ticket,odds,market_p,actual_hit,return_units,group_score_percentile,trio_mean_delta,unordered_role_set
2025_01,2025_H1,3720250101010001,1-2-5,383.1,0.001951627501892684,0,0.0,0.5,0.25499999999998596,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101010001,1-5-2,391.5,0.0019097535018520748,0,0.0,0.5,0.25499999999998596,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101010001,2-1-5,348.1,0.002147855489730213,0,0.0,0.5,0.25499999999998596,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101010001,2-5-1,239.1,0.0031270116937477514,0,0.0,0.5,0.25499999999998596,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101010001,5-1-2,271.9,0.0027497921882128993,0,0.0,0.5,0.25499999999998596,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101010001,5-2-1,192.5,0.00388399218688357,0,0.0,0.5,0.25499999999998596,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101010001,2-5-6,568.5,0.0013151600632807165,0,0.0,0.8,-0.9383333333333468,BANTE+RYO+RYO
2025_01,2025_H1,3720250101010001,2-6-5,1037.7,0.0007205054408548591,0,0.0,0.8,-0.9383333333333468,BANTE+RYO+RYO
2025_01,2025_H1,3720250101010001,5-2-6,462.7,0.0016158817721527712,0,0.0,0.8,-0.9383333333333468,BANTE+RYO+RYO
2025_01,2025_H1,3720250101010001,5-6-2,1058.2,0.0007065474352438927,0,0.0,0.8,-0.9383333333333468,BANTE+RYO+RYO
2025_01,2025_H1,3720250101010001,6-2-5,1644.4,0.0004546755631081776,0,0.0,0.8,-0.9383333333333468,BANTE+RYO+RYO
2025_01,2025_H1,3720250101010001,6-5-2,1353.0,0.0005526005143940038,0,0.0,0.8,-0.9383333333333468,BANTE+RYO+RYO
2025_01,2025_H1,3720250101030001,1-2-5,175.4,0.0042653833057741345,0,0.0,0.25,1.1483333333333168,BANTE+BANTE+BANTE
2025_01,2025_H1,3720250101030001,1-5-2,78.1,0.00957936276354396,0,0.0,0.25,1.1483333333333168,BANTE+BANTE+BANTE
2025_01,2025_H1,3720250101030001,2-1-5,183.7,0.004072663210848031,0,0.0,0.25,1.1483333333333168,BANTE+BANTE+BANTE
2025_01,2025_H1,3720250101030001,2-5-1,262.1,0.002854438122215884,0,0.0,0.25,1.1483333333333168,BANTE+BANTE+BANTE
2025_01,2025_H1,3720250101030001,5-1-2,77.1,0.009703608713784478,0,0.0,0.25,1.1483333333333168,BANTE+BANTE+BANTE
2025_01,2025_H1,3720250101030001,5-2-1,165.6,0.0045178033323235705,0,0.0,0.25,1.1483333333333168,BANTE+BANTE+BANTE
2025_01,2025_H1,3720250101030001,2-5-6,511.8,0.0014617980301539334,0,0.0,0.75,-1.0483333333333509,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101030001,2-6-5,551.2,0.0013573081129041784,0,0.0,0.75,-1.0483333333333509,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101030001,5-2-6,417.4,0.0017924011304091597,0,0.0,0.75,-1.0483333333333509,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101030001,5-6-2,636.9,0.0011746714269630762,0,0.0,0.75,-1.0483333333333509,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101030001,6-2-5,895.7,0.0008352665310179559,0,0.0,0.75,-1.0483333333333509,BANTE+BANTE+RYO
2025_01,2025_H1,3720250101030001,6-5-2,1088.5,0.0006873203783489051,0,0.0,0.75,-1.0483333333333509,BANTE+BANTE+RYO
2025_01,2025_H1,2220250101010005,1-3-4,1500.6,0.0004985859870622819,0,0.0,0.8,-0.9866666666666551,BANTE+RYO+RYO
2025_01,2025_H1,2220250101010005,1-4-3,1525.3,0.0004905121170823185,0,0.0,0.8,-0.9866666666666551,BANTE+RYO+RYO
2025_01,2025_H1,2220250101010005,3-1-4,1076.8,0.0006948162446003532,0,0.0,0.8,-0.9866666666666551,BANTE+RYO+RYO
2025_01,2025_H1,2220250101010005,3-4-1,779.7,0.000959571799648147,0,0.0,0.8,-0.9866666666666551,BANTE+RYO+RYO
2025_01,2025_H1,2220250101010005,4-1-3,935.7,0.0007995918907616333,0,0.0,0.8,-0.9866666666666551,BANTE+RYO+RYO
2025_01,2025_H1,2220250101010005,4-3-1,799.9,0.0009353395826799104,0,0.0,0.8,-0.9866666666666551,BANTE+RYO+RYO
2025_01,2025_H1,2220250101010005,3-4-5,369.6,0.00202429148318631,0,0.0,0.7142857142857143,-0.7766666666666566,BANTE+BANTE+RYO
2025_01,2025_H1,2220250101010005,3-5-4,484.5,0.0015442273110127147,0,0.0,0.7142857142857143,-0.7766666666666566,BANTE+BANTE+RYO
2025_01,2025_H1,2220250101010005,4-3-5,461.6,0.0016208365082011704,0,0.0,0.7142857142857143,-0.7766666666666566,BANTE+BANTE+RYO
2025_01,2025_H1,2220250101010005,4-5-3,546.3,0.0013695371264610295,0,0.0,0.7142857142857143,-0.7766666666666566,BANTE+BANTE+RYO
