month,race_id,winner,own_bante,own_bante_failed,head_score,own_bante_score,head_score_rank,own_bante_score_rank,head_minus_own_bante_score,line_size,best_other_bante_score,own_bante_minus_best_other_bante,other_bantes_above_own,best_other_head_score,head_minus_best_other_head,head_rank_bin,bante_rank_bin,head_bante_gap_bin,own_vs_best_other_bante_bin,other_bantes_above_bin,line_size_bin,head_vs_best_other_head_bin
2025_01,1320250104010005,4,6,1,94.31,90.21,4,7,4.1000000000000085,2,96.1,-5.890000000000001,2,97.07,-2.759999999999991,3-4,5+,4+,<-2,2+,2,<0
2025_01,1320250104030003,5,1,1,83.73,89.96,6,2,-6.22999999999999,3,96.1,-6.140000000000001,1,86.15,-2.4200000000000017,5+,1-2,<=0,<-2,1,3+,<0
2025_01,1320250124010010,2,7,0,84.21,86.52,4,3,-2.3100000000000023,2,90.6,-4.079999999999998,1,88.4,-4.190000000000012,3-4,3-4,<=0,<-2,1,2,<0
2025_01,1320250124020012,6,2,1,84.21,88.83,7,4,-4.6200000000000045,3,95.43,-6.6000000000000085,2,91.14,-6.930000000000007,5+,3-4,<=0,<-2,2+,3+,<0
2025_01,2220250101010004,1,3,0,88.4,88.19,1,2,0.21000000000000796,3,80.76,7.429999999999993,0,82.09,6.310000000000002,1-2,1-2,0-2,2+,0,3+,4+
2025_01,2220250101030001,4,2,1,81.9,73.7,2,4,8.200000000000003,2,83.03,-9.329999999999998,1,80.76,1.1400000000000006,1-2,3-4,4+,<-2,1,2,0-2
2025_01,2320250112030011,1,4,1,93.75,89.86,3,6,3.8900000000000006,3,94.16,-4.299999999999997,2,93.82,-0.06999999999999318,3-4,5+,2-4,<-2,2+,3+,<0
2025_01,2520250124030008,5,3,0,89.5,84.3,1,6,5.200000000000003,3,86.0,-1.7000000000000028,1,88.62,0.8799999999999955,1-2,5+,4+,-2-0,1,3+,0-2
2025_01,2620250108010004,4,2,0,86.71,88.4,4,2,-1.690000000000012,2,89.05,-0.6499999999999915,1,87.04,-0.3300000000000125,3-4,1-2,<=0,-2-0,1,2,<0
2025_01,2620250108020005,2,4,1,87.5,83.69,2,4,3.8100000000000023,2,82.65,1.039999999999992,0,89.05,-1.5499999999999972,1-2,3-4,2-4,0-2,0,2,<0
