month,race_id,n_starters,n_lines,n_multi_lines,three_line_finish,actual_distinct_lines,has_ryo_head,mean_abs_head_bante_gap,max_abs_head_bante_gap,mean_abs_head_bante_gap_band,max_abs_head_bante_gap_band,large_gap_count_ge2,large_gap_count_band,head_stronger_by2_count,bante_stronger_by2_count,bante_stronger_count,bante_stronger_count_band,bante_stronger_by1_count,bante_stronger_by1_count_band,top3_score_distinct_lines,top4_score_distinct_lines
2025_01,3720250101010001,6,3,3,0,2,1,2.9700000000000037,3.690000000000012,2_TO_4,2_TO_4,2,2_PLUS,1,1,2,2_PLUS,2,2_PLUS,2,2
2025_01,3720250101020001,5,3,2,0,2,1,7.590000000000003,7.8700000000000045,GE_4,GE_4,2,2_PLUS,2,0,0,0,0,0,2,2
2025_01,3720250101030001,6,3,3,0,2,1,6.3833333333333355,6.590000000000003,GE_4,GE_4,3,2_PLUS,1,2,2,2_PLUS,2,2_PLUS,3,3
2025_01,3720250101010002,6,4,2,0,2,0,4.605000000000004,5.660000000000011,GE_4,GE_4,2,2_PLUS,2,0,0,0,0,0,3,4
2025_01,3720250101020002,6,4,2,0,2,0,9.200000000000003,13.900000000000006,GE_4,GE_4,2,2_PLUS,2,0,0,0,0,0,3,4
2025_01,3720250101030002,6,4,2,1,3,1,9.39,11.329999999999998,GE_4,GE_4,2,2_PLUS,2,0,0,0,0,0,3,4
2025_01,3720250101010003,6,2,2,0,2,1,2.5150000000000006,4.5,2_TO_4,GE_4,1,1,0,1,1,1,1,1,2,2
2025_01,3720250101010004,7,3,2,0,2,0,3.114999999999995,3.6799999999999926,2_TO_4,2_TO_4,2,2_PLUS,1,1,1,1,1,1,2,2
2025_01,3720250101020004,7,3,2,1,3,1,4.785000000000004,5.480000000000004,GE_4,GE_4,2,2_PLUS,0,2,2,2_PLUS,2,2_PLUS,3,3
2025_01,3720250101030004,7,3,2,1,3,0,3.0449999999999946,5.689999999999998,2_TO_4,GE_4,1,1,1,0,0,0,0,0,2,2
