month,race_id,three_line_finish,actual_distinct_lines,top3_score_distinct_lines,bante_stronger_count,large_gap_count_ge2,has_ryo_head,winner_role,second_role,third_role,second_third_pair,ordered_roles,ordered_roles_coarse,winner_score,second_score,third_score
2025_01,3720250101010001,0,2,2,2,2,1,BANTE,ESCAPE_HEAD,OTHER_HEAD,ESCAPE_HEAD>OTHER_HEAD,BANTE>ESCAPE_HEAD>OTHER_HEAD,BANTE>HEAD>HEAD,84.1,87.79,84.44
2025_01,3720250101020001,0,2,2,0,2,1,RYO_HEAD,OTHER_HEAD,BANTE,OTHER_HEAD>BANTE,RYO_HEAD>OTHER_HEAD>BANTE,HEAD>HEAD>BANTE,85.16,88.2,77.85
2025_01,3720250101030001,0,2,3,2,3,1,BANTE,BANTE,OTHER_HEAD,BANTE>OTHER_HEAD,BANTE>BANTE>OTHER_HEAD,BANTE>BANTE>HEAD,84.44,82.07,88.2
2025_01,3720250101010002,0,2,3,0,2,0,ESCAPE_HEAD,BANTE,SOLO,BANTE>SOLO,ESCAPE_HEAD>BANTE>SOLO,HEAD>BANTE>SOLO,84.16,80.61,87.91
2025_01,3720250101020002,0,2,3,0,2,0,OTHER_HEAD,SOLO,BANTE,SOLO>BANTE,OTHER_HEAD>SOLO>BANTE,HEAD>SOLO>BANTE,83.91,82.2,79.41
2025_01,3720250101030002,1,3,3,0,2,1,SOLO,BANTE,OTHER_HEAD,BANTE>OTHER_HEAD,SOLO>BANTE>OTHER_HEAD,SOLO>BANTE>HEAD,87.73,73.83,79.41
2025_01,3720250101010003,0,2,2,1,1,1,BANTE,RYO_HEAD,THIRD_PLUS,RYO_HEAD>THIRD_PLUS,BANTE>RYO_HEAD>THIRD_PLUS,BANTE>HEAD>THIRD_PLUS,87.8,83.7,75.58
2025_01,3720250101010004,0,2,2,1,2,0,ESCAPE_HEAD,ESCAPE_HEAD,BANTE,ESCAPE_HEAD>BANTE,ESCAPE_HEAD>ESCAPE_HEAD>BANTE,HEAD>HEAD>BANTE,92.5,81.48,89.95
2025_01,3720250101020004,1,3,3,2,2,1,SOLO,BANTE,RYO_HEAD,BANTE>RYO_HEAD,SOLO>BANTE>RYO_HEAD,SOLO>BANTE>HEAD,91.44,89.92,83.7
2025_01,3720250101030004,1,3,2,0,1,0,SOLO,OTHER_HEAD,OTHER_HEAD,OTHER_HEAD>OTHER_HEAD,SOLO>OTHER_HEAD>OTHER_HEAD,SOLO>HEAD>HEAD,88.33,84.1,90.85
2025_01,3720250101010005,0,2,2,1,1,0,ESCAPE_HEAD,BANTE,SOLO,BANTE>SOLO,ESCAPE_HEAD>BANTE>SOLO,HEAD>BANTE>SOLO,89.29,93.81,89.92
2025_01,3720250101020005,1,3,3,1,1,0,SOLO,SOLO,SOLO,SOLO>SOLO,SOLO>SOLO>SOLO,SOLO>SOLO>SOLO,89.29,89.95,97.71
2025_01,3720250101030010,0,2,3,0,2,0,BANTE,THIRD_PLUS,SOLO,THIRD_PLUS>SOLO,BANTE>THIRD_PLUS>SOLO,BANTE>THIRD_PLUS>SOLO,89.95,89.29,92.5
2025_01,2220250101020001,0,2,2,1,1,0,OTHER_HEAD,BANTE,SOLO,BANTE>SOLO,OTHER_HEAD>BANTE>SOLO,HEAD>BANTE>SOLO,82.09,81.04,69.87
2025_01,2220250101030001,1,3,3,1,2,1,RYO_HEAD,OTHER_HEAD,SOLO,OTHER_HEAD>SOLO,RYO_HEAD>OTHER_HEAD>SOLO,HEAD>HEAD>SOLO,81.9,70.95,80.76
2025_01,2220250101010002,0,2,2,1,1,0,ESCAPE_HEAD,BANTE,BANTE,BANTE>BANTE,ESCAPE_HEAD>BANTE>BANTE,HEAD>BANTE>BANTE,84.0,83.03,87.66
2025_01,2220250101010003,0,2,2,0,2,1,ESCAPE_HEAD,BANTE,RYO_HEAD,BANTE>RYO_HEAD,ESCAPE_HEAD>BANTE>RYO_HEAD,HEAD>BANTE>HEAD,87.61,84.33,81.9
2025_01,2220250101010004,0,2,2,1,1,1,RYO_HEAD,BANTE,RYO_HEAD,BANTE>RYO_HEAD,RYO_HEAD>BANTE>RYO_HEAD,HEAD>BANTE>HEAD,88.4,88.19,74.45
2025_01,2220250101010005,1,3,2,1,1,1,BANTE,ESCAPE_HEAD,RYO_HEAD,ESCAPE_HEAD>RYO_HEAD,BANTE>ESCAPE_HEAD>RYO_HEAD,BANTE>HEAD>HEAD,90.41,91.06,91.7
2025_01,2220250101030010,0,2,3,0,3,1,ESCAPE_HEAD,THIRD_PLUS,ESCAPE_HEAD,THIRD_PLUS>ESCAPE_HEAD,ESCAPE_HEAD>THIRD_PLUS>ESCAPE_HEAD,HEAD>THIRD_PLUS>HEAD,87.2,90.41,96.27
