month,race_id,trio,ticket,odds,market_p,actual_hit,score_order,winner_score_rank,line_pos_order,winner_line_pos,running_style_order,winner_running_style,escape_count,winner_is_escape,winner_score_rank_x_line_pos,group_score_percentile
2025_01,1320250104010001,1-3-5,1-3-5,88.0,0.008511465374535674,0,1-2-3,1,1-2-1,1,両-追-追,両,0,0,1x1,0.11428571428571428
2025_01,1320250104010001,1-3-5,1-5-3,230.6,0.0032480873935782275,0,1-3-2,1,1-1-2,1,両-追-追,両,0,0,1x1,0.11428571428571428
2025_01,1320250104010001,1-3-5,3-1-5,212.4,0.0035264074998076237,0,2-1-3,2,2-1-1,2,追-両-追,追,0,0,2x2,0.11428571428571428
2025_01,1320250104010001,1-3-5,3-5-1,474.5,0.0015785225562890185,0,2-3-1,2,2-1-1,2,追-追-両,追,0,0,2x2,0.11428571428571428
2025_01,1320250104010001,1-3-5,5-1-3,493.3,0.0015183639832944238,0,3-1-2,3,1-1-2,1,追-両-追,追,0,0,3x1,0.11428571428571428
2025_01,1320250104010001,1-3-5,5-3-1,682.5,0.0010974490153247462,0,3-2-1,3,1-2-1,1,追-追-両,追,0,0,3x1,0.11428571428571428
2025_01,1320250104010001,1-5-7,1-5-7,195.7,0.003827332411646087,0,1-3-2,1,1-1-1,1,両-追-逃,両,1,0,1x1,0.22857142857142856
2025_01,1320250104010001,1-5-7,1-7-5,61.0,0.01227883529441212,0,1-2-3,1,1-1-1,1,両-逃-追,両,1,0,1x1,0.22857142857142856
2025_01,1320250104010001,1-5-7,5-1-7,431.3,0.0017366310061654052,0,3-1-2,3,1-1-1,1,追-両-逃,追,1,0,3x1,0.22857142857142856
2025_01,1320250104010001,1-5-7,5-7-1,424.0,0.0017665305494319321,0,3-2-1,3,1-1-1,1,追-逃-両,追,1,0,3x1,0.22857142857142856
2025_01,1320250104010001,1-5-7,7-1-5,85.3,0.00878087869823141,1,2-1-3,2,1-1-1,1,逃-両-追,逃,1,1,2x1,0.22857142857142856
2025_01,1320250104010001,1-5-7,7-5-1,260.1,0.0028796960898083016,0,2-3-1,2,1-1-1,1,逃-追-両,逃,1,1,2x1,0.22857142857142856
2025_01,1320250104010001,3-4-5,3-4-5,327.7,0.0022856544185509285,0,1-2-3,1,2-2-1,2,追-追-追,追,0,0,1x2,0.34285714285714286
2025_01,1320250104010001,3-4-5,3-5-4,582.7,0.00128541093694721,0,1-3-2,1,2-1-2,2,追-追-追,追,0,0,1x2,0.34285714285714286
2025_01,1320250104010001,3-4-5,4-3-5,380.3,0.0019695213067555594,0,2-1-3,2,2-2-1,2,追-追-追,追,0,0,2x2,0.34285714285714286
2025_01,1320250104010001,3-4-5,4-5-3,516.3,0.001450724293935966,0,2-3-1,2,2-1-2,2,追-追-追,追,0,0,2x2,0.34285714285714286
2025_01,1320250104010001,3-4-5,5-3-4,837.3,0.0008945526728283044,0,3-1-2,3,1-2-2,1,追-追-追,追,0,0,3x1,0.34285714285714286
