month,race_id,ticket,odds,market_p,group_score_percentile,own_bante,race_higher_other_bantes,score1,score2,score3,rank1,rank2,rank3,score_order_pattern,race_rank_tuple,race_rank_bucket_pattern,gap12,gap23,gap13,gap12_bin,gap23_bin,gap13_bin,score_spread,spread_bin
2025_01,1320250104030003,5-2-3,544.6,0.0013730783093088,0.34285714285714286,1,1,83.73,96.1,86.15,6,1,5,2nd>3rd>1st,6-1-5,R5+-R1-2-R5+,-12.36999999999999,9.949999999999989,-2.4200000000000017,<-4,4+,-4~-2,12.36999999999999,6+
2025_01,2820250122010004,3-2-1,1463.8,0.0005061261590986196,0.34285714285714286,5,1,85.34,80.47,86.82,3,6,2,3rd>1st>2nd,3-6-2,R3-4-R5+-R1-2,4.8700000000000045,-6.349999999999994,-1.4799999999999898,4+,<-4,-2~0,6.349999999999994,6+
2025_01,4820250110010003,1-4-5,230.9,0.0032411907345887185,0.3142857142857143,7,1,86.96,87.33,83.55,3,2,5,2nd>1st>3rd,3-2-5,R3-4-R1-2-R5+,-0.37000000000000455,3.780000000000001,3.4099999999999966,-2~0,2~4,2~4,3.780000000000001,2-4
2025_03,8320250310030002,7-1-6,54.9,0.013639129981122815,0.4,3,1,87.76,92.15,78.33,3,1,7,2nd>1st>3rd,3-1-7,R3-4-R1-2-R5+,-4.390000000000001,13.820000000000007,9.430000000000007,<-4,4+,4+,13.820000000000007,6+
2025_03,8420250313020005,2-7-1,57.5,0.013026445856191234,0.4,4,1,86.42,78.9,86.5,2,7,1,3rd>1st>2nd,2-7-1,R1-2-R5+-R1-2,7.519999999999996,-7.599999999999994,-0.0799999999999983,4+,<-4,-2~0,7.599999999999994,6+
2025_03,8520250321010007,5-1-6,121.6,0.006160922359559711,0.37142857142857144,3,2,98.36,92.62,91.36,1,4,7,1st>2nd>3rd,1-4-7,R1-2-R3-4-R5+,5.739999999999995,1.2600000000000051,7.0,4+,0~2,4+,7.0,6+
2025_04,2820250426010008,3-2-7,338.1,0.0022111401128547094,0.37142857142857144,5,2,84.87,86.8,85.13,5,3,4,2nd>3rd>1st,5-3-4,R5+-R3-4-R3-4,-1.9299999999999926,1.6700000000000017,-0.2599999999999909,-2~0,0~2,-2~0,1.9299999999999926,<2
2025_06,8520250617010001,7-3-2,587.2,0.001274688633324584,0.37142857142857144,1,2,78.66,89.7,85.41,6,1,4,2nd>3rd>1st,6-1-4,R5+-R1-2-R3-4,-11.040000000000006,4.290000000000006,-6.75,<-4,4+,<-4,11.040000000000006,6+
2025_06,8520250617030001,5-7-1,39.5,0.01895500236177238,0.3142857142857143,2,2,81.0,82.04,79.91,3,2,5,2nd>1st>3rd,3-2-5,R3-4-R1-2-R5+,-1.0400000000000063,2.1300000000000097,1.0900000000000034,-2~0,2~4,0~2,2.1300000000000097,2-4
2025_07,5620250711020008,7-6-4,59.2,0.012656196434431655,0.34285714285714286,1,1,87.83,75.96,81.95,1,7,3,1st>3rd>2nd,1-7-3,R1-2-R5+-R3-4,11.870000000000005,-5.990000000000009,5.8799999999999955,4+,<-4,4+,11.870000000000005,6+
2026_02,2320260131020002,5-6-2,27.2,0.027528815718339913,0.3142857142857143,4,1,89.28,76.0,83.33,1,7,2,1st>3rd>2nd,1-7-2,R1-2-R5+-R1-2,13.280000000000001,-7.329999999999998,5.950000000000003,4+,<-4,4+,13.280000000000001,6+
