month,race_id,variant,policy,target,head_bust,candidate_sets,actual,set_match,eligible_count,picks,pick_odds,ticket_count,bet,hit,stake,pay
2025_01,3720250101010001,BASE,MKT1,3,0.0,1-2-5,5-3-4,0.0,6,5-2-1,192.50,1,1,0,100,0
2025_01,3720250101010001,BASE,MKT2,3,0.0,1-2-5,5-3-4,0.0,6,5-2-1|2-5-1,192.50|239.10,2,1,0,200,0
2025_01,3720250101010001,OH_HIGH,MKT1,3,0.0,2-4-5|1-4-5,5-3-4,0.0,12,2-4-5,62.60,1,1,0,100,0
2025_01,3720250101010001,OH_HIGH,MKT2,3,0.0,2-4-5|1-4-5,5-3-4,0.0,12,2-4-5|5-4-2,62.60|86.10,2,1,0,200,0
2025_01,3720250101030001,BASE,MKT1,3,0.0,1-2-5,1-5-3,0.0,6,5-1-2,77.10,1,1,0,100,0
2025_01,3720250101030001,BASE,MKT2,3,0.0,1-2-5,1-5-3,0.0,6,5-1-2|1-5-2,77.10|78.10,2,1,0,200,0
2025_01,3720250101030001,OH_HIGH,MKT1,3,0.0,2-4-5,1-5-3,0.0,6,4-5-2,295.50,1,1,0,100,0
2025_01,3720250101030001,OH_HIGH,MKT2,3,0.0,2-4-5,1-5-3,0.0,6,4-5-2|4-2-5,295.50|337.20,2,1,0,200,0
2025_01,3720250101010002,BASE,MKT1,1,0.0,3-5-6,1-6-3,0.0,6,5-3-6,90.90,1,1,0,100,0
2025_01,3720250101010002,BASE,MKT2,1,0.0,3-5-6,1-6-3,0.0,6,5-3-6|3-5-6,90.90|124.90,2,1,0,200,0
2025_01,3720250101010002,OH_HIGH,MKT1,1,0.0,3-5-6,1-6-3,0.0,6,5-3-6,90.90,1,1,0,100,0
2025_01,3720250101010002,OH_HIGH,MKT2,1,0.0,3-5-6,1-6-3,0.0,6,5-3-6|3-5-6,90.90|124.90,2,1,0,200,0
2025_01,3720250101020002,BASE,MKT1,5,0.0,1-2-3|1-2-4,5-3-2,0.0,12,3-1-2,73.50,1,1,0,100,0
2025_01,3720250101020002,BASE,MKT2,5,0.0,1-2-3|1-2-4,5-3-2,0.0,12,3-1-2|1-3-2,73.50|103.10,2,1,0,200,0
2025_01,3720250101020002,OH_HIGH,MKT1,5,0.0,1-2-3|1-2-4,5-3-2,0.0,12,3-1-2,73.50,1,1,0,100,0
