month,race_id,date,variant,action,reason,target,ranking,bets,actual,head_bust,tickets,hit,stake_yen,return_yen
2025_01,3720250101010001,2025-01-01,BASELINE,BET,eligible,3,5-2-1-4-6,5-1-2@271.90,5-3-4,0,1,0,100,0
2025_01,3720250101010001,2025-01-01,NO_THIRD,BET,eligible,3,5-2-1-4-6,5-1-2@271.90,5-3-4,0,1,0,100,0
2025_01,3720250101010001,2025-01-01,NO_ESCAPE_NO_THIRD,BET,eligible,3,5-2-1-4-6,5-1-2@271.90,5-3-4,0,1,0,100,0
2025_01,3720250101020001,2025-01-01,BASELINE,SKIP,target_score_plus_3,4,,,3-4-5,0,0,0,0,0
2025_01,3720250101020001,2025-01-01,NO_THIRD,SKIP,target_score_plus_3,4,,,3-4-5,0,0,0,0,0
2025_01,3720250101020001,2025-01-01,NO_ESCAPE_NO_THIRD,SKIP,target_score_plus_3,4,,,3-4-5,0,0,0,0,0
2025_01,3720250101030001,2025-01-01,BASELINE,BET,eligible,3,2-5-1-4-6,2-5-1@262.10,1-5-3,0,1,0,100,0
2025_01,3720250101030001,2025-01-01,NO_THIRD,BET,eligible,3,2-5-1-4-6,2-5-1@262.10,1-5-3,0,1,0,100,0
2025_01,3720250101030001,2025-01-01,NO_ESCAPE_NO_THIRD,BET,eligible,3,2-5-1-6,2-5-1@262.10,1-5-3,0,1,0,100,0
2025_01,3720250101010002,2025-01-01,BASELINE,BET,eligible,1,3-5-6-2-4,3-5-6@124.90,1-6-3,0,1,0,100,0
2025_01,3720250101010002,2025-01-01,NO_THIRD,BET,eligible,1,3-5-6-2-4,3-5-6@124.90,1-6-3,0,1,0,100,0
2025_01,3720250101010002,2025-01-01,NO_ESCAPE_NO_THIRD,BET,eligible,1,3-5-6-2-4,3-5-6@124.90,1-6-3,0,1,0,100,0
2025_01,3720250101020002,2025-01-01,BASELINE,SKIP,popular_group_is_solo,3,,,5-3-2,0,0,0,0,0
2025_01,3720250101020002,2025-01-01,NO_THIRD,SKIP,popular_group_is_solo,3,,,5-3-2,0,0,0,0,0
2025_01,3720250101020002,2025-01-01,NO_ESCAPE_NO_THIRD,SKIP,popular_group_is_solo,3,,,5-3-2,0,0,0,0,0
2025_01,3720250101030002,2025-01-01,BASELINE,SKIP,popular_group_is_solo,4,,,4-2-1,0,0,0,0,0
2025_01,3720250101030002,2025-01-01,NO_THIRD,SKIP,popular_group_is_solo,4,,,4-2-1,0,0,0,0,0
2025_01,3720250101030002,2025-01-01,NO_ESCAPE_NO_THIRD,SKIP,popular_group_is_solo,4,,,4-2-1,0,0,0,0,0
2025_01,3720250101010003,2025-01-01,BASELINE,BET,eligible,4,2-5-1-3-6,2-5-1@138.00,2-1-6,1,1,0,100,0
2025_01,3720250101010003,2025-01-01,NO_THIRD,BET,eligible,4,2-5-1,2-5-1@138.00,2-1-6,1,1,0,100,0
2025_01,3720250101010003,2025-01-01,NO_ESCAPE_NO_THIRD,SKIP,filter_left_lt3,4,,,2-1-6,1,0,0,0,0
2025_01,3720250101010004,2025-01-01,BASELINE,SKIP,target_score_plus_3,7,,,7-3-1,0,0,0,0,0
2025_01,3720250101010004,2025-01-01,NO_THIRD,SKIP,target_score_plus_3,7,,,7-3-1,0,0,0,0,0
