month,race_id,target,head_bust,candidate_sets,actual,set_match,eligible_count,pick,pick_odds,bet,hit,stake,pay
2024_12,8620241201010001,4,1,1-2-7,1-3-7,0,4,2-1-7,32.6,1,0,100,0
2024_12,8620241201030001,4,0,2-3-7,2-4-7,0,5,7-2-3,42.3,1,0,100,0
2024_12,8620241201010002,5,0,,5-1-6,0,0,,,0,0,0,0
2024_12,8620241201030003,1,1,,7-5-2,0,0,,,0,0,0,0
2024_12,8620241201020004,1,1,2-3-5,5-3-2,1,3,2-5-3,152.0,1,0,100,0
2024_12,8620241201030004,1,1,2-3-5,3-5-2,1,3,2-3-5,43.0,1,0,100,0
2024_12,8620241201010005,3,0,,3-5-7,0,0,,,0,0,0,0
2024_12,7320241202010001,3,0,1-2-5|1-2-4,4-2-3,0,12,5-2-1,90.9,1,0,100,0
2024_12,7320241202020001,3,1,,4-5-6,0,0,,,0,0,0,0
2024_12,7320241202030003,4,0,1-2-7|1-3-7,1-6-4,0,11,1-7-2,36.1,1,0,100,0
2024_12,7320241202010005,6,1,3-5-7,4-5-1,0,6,3-5-7,131.0,1,0,100,0
2024_12,7320241202020005,5,1,1-3-4,3-1-4,1,2,1-4-3,41.5,1,0,100,0
2024_12,7320241202030011,3,1,1-5-7,2-7-1,0,6,7-1-5,122.9,1,0,100,0
2024_12,3820241203010003,3,0,1-2-5,1-3-2,0,5,1-2-5,37.2,1,0,100,0
2024_12,3820241203030003,3,0,1-2-5,3-1-5,0,6,2-1-5,113.9,1,0,100,0
2024_12,3820241203010004,2,0,1-4-5,2-4-7,0,6,1-4-5,251.8,1,0,100,0
2024_12,3820241203020004,2,1,1-4-5,4-5-6,0,6,1-4-5,83.5,1,0,100,0
2024_12,3820241203030004,1,0,2-3-4,3-4-1,0,5,4-3-2,45.5,1,0,100,0
2024_12,3820241203010005,2,1,1-3-4|1-3-6,3-4-1,1,10,1-3-4,49.9,1,0,100,0
2024_12,3820241203020005,4,0,1-2-3,4-5-6,0,6,1-2-3,35.8,1,0,100,0
2024_12,3820241203030005,2,0,1-3-4,2-1-7,0,6,1-3-4,81.6,1,0,100,0
2024_12,3820241203030006,1,1,2-4-5,5-6-4,0,6,4-2-5,215.0,1,0,100,0
2024_12,3820241203020007,2,0,,4-6-2,0,0,,,0,0,0,0
2024_12,3820241203030008,3,1,1-4-7,4-1-7,1,6,4-1-7,37.9,1,1,100,3790
2024_12,3820241203010009,3,0,1-4-5,1-4-3,0,6,4-1-5,145.9,1,0,100,0
2024_12,3820241203020009,3,0,1-4-5,1-3-2,0,6,1-5-4,120.1,1,0,100,0
2024_12,6120241203010003,1,0,2-3-4,3-1-6,0,6,2-3-4,86.2,1,0,100,0
2024_12,6120241203020003,1,0,2-3-4,4-1-3,0,6,3-2-4,135.2,1,0,100,0
2024_12,6120241203010004,2,0,1-3-6,2-3-1,0,6,1-6-3,72.5,1,0,100,0
2024_12,6120241203020004,6,1,1-2-4,1-4-2,1,4,2-1-4,111.6,1,0,100,0
2024_12,6120241203030004,2,0,1-3-4,1-2-6,0,5,1-4-3,48.7,1,0,100,0
2024_12,6120241203010005,3,0,1-2-4,3-1-2,0,6,1-4-2,36.2,1,0,100,0
2024_12,6120241203010006,2,1,1-3-5,1-5-6,0,4,3-1-5,60.6,1,0,100,0
2024_12,6120241203020006,1,0,2-3-5,1-3-6,0,6,3-2-5,147.6,1,0,100,0
2024_12,6120241203030006,2,1,1-3-5,5-3-7,0,5,3-1-5,82.1,1,0,100,0
