month,race_id,selected_set,actual,trio_odds,parsed_trio_count,bet,hit,stake,pay,source_url
2024_07,8620240701020001,2-4-5,5-4-1,14.8,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701020001/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701030001,1-4-7,6-1-2,36.9,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701030001/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701010003,1-5-7,5-1-3,12.8,35,0,0,0,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701010003/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701020003,1-2-3,5-2-4,260.6,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701020003/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701010004,1-2-3,1-5-3,59.6,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701010004/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701030004,4-5-7,7-4-2,75.8,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701030004/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701010005,1-2-7,1-6-3,106.6,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701010005/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701030005,1-2-3,1-3-2,19.2,35,1,1,100,1920,https://keirin.kdreams.jp/beppu/racedetail/8620240701030005/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701010007,2-4-7,7-6-1,28.8,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701010007/?pageType=odds&kakeshikiType=3renhuku
2024_07,8620240701030007,1-2-7,5-1-7,35.4,35,1,0,100,0,https://keirin.kdreams.jp/beppu/racedetail/8620240701030007/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701010001,1-4-5,1-4-5,12.7,35,0,0,0,0,https://keirin.kdreams.jp/ito/racedetail/3720240701010001/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701020001,1-4-5,1-7-2,117.0,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701020001/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701020002,2-3-4,2-3-7,19.7,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701020002/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701020003,2-3-4,2-1-3,19.0,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701020003/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701030004,1-4-6,1-7-2,21.6,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701030004/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701020005,1-3-4,2-5-6,19.9,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701020005/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701010007,1-2-7,4-3-5,77.3,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701010007/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701020007,1-2-3,2-1-7,4.7,35,0,0,0,0,https://keirin.kdreams.jp/ito/racedetail/3720240701020007/?pageType=odds&kakeshikiType=3renhuku
2024_07,3720240701030007,1-2-5,3-5-1,53.1,35,1,0,100,0,https://keirin.kdreams.jp/ito/racedetail/3720240701030007/?pageType=odds&kakeshikiType=3renhuku
2024_07,4520240701030001,2-3-7,1-2-3,45.6,35,1,0,100,0,https://keirin.kdreams.jp/toyohashi/racedetail/4520240701030001/?pageType=odds&kakeshikiType=3renhuku
2024_07,4520240701010002,1-5-7,4-5-7,62.1,35,1,0,100,0,https://keirin.kdreams.jp/toyohashi/racedetail/4520240701010002/?pageType=odds&kakeshikiType=3renhuku
2024_07,4520240701020002,1-5-7,5-1-2,8.5,35,0,0,0,0,https://keirin.kdreams.jp/toyohashi/racedetail/4520240701020002/?pageType=odds&kakeshikiType=3renhuku
