month,race_id,variant,actual,current,raw,mark,market_fav,market_first,actual_order_odds,market_fav_odds,winner_role,second_role,third_role,winner_score,second_score,third_score,winner_mark,second_mark,third_mark
2025_01,7420250103010001,BASE,5-4-2,2-5-4,2-5-4,,2-5-4,2,52.0,25.9,other_pos2,solo,popular_pos2,86.81,85.0,89.76,,,
2025_01,7420250103010001,OH_HIGH,5-4-2,2-5-4,2-5-4,,2-5-4,2,52.0,25.9,other_pos2,solo,popular_pos2,86.81,85.0,89.76,,,
2025_02,8620250201030003,BASE,1-5-2,2-5-1,2-5-1,,2-1-5,2,18.3,16.0,other_pos2,solo,popular_pos2,86.66,88.51,89.36,,,
2025_02,8620250201030003,OH_HIGH,1-5-2,2-5-1,2-5-1,,2-1-5,2,18.3,16.0,other_pos2,solo,popular_pos2,86.66,88.51,89.36,,,
2025_02,4420250201010009,BASE,3-7-2,3-2-7,3-2-7,,3-7-2,3,73.1,73.1,popular_pos2,popular_pos3plus,other_pos2,86.16,81.96,85.58,,,
2025_02,4420250201010009,OH_HIGH,3-7-2,3-2-5,3-2-7,,3-7-2,3,73.1,73.1,popular_pos2,popular_pos3plus,other_pos2,86.16,81.96,85.58,,,
2025_02,4420250201020009,BASE,2-7-4,2-7-4,2-7-4,,2-7-4,2,2.0,2.0,popular_pos2,other_pos3plus,popular_pos3plus,89.81,83.52,80.59,,,
2025_02,4420250201020012,OH_HIGH,5-2-1,5-2-1,2-5-1,,5-2-1,5,16.1,16.1,popular_pos2,other_pos2,other_head,94.95,95.53,85.95,,,
2025_02,8120250204020002,OH_HIGH,2-5-1,2-1-5,2-1-5,,2-5-1,2,6.9,6.9,popular_pos2,other_head,solo,87.13,82.62,87.09,,,
2025_03,3520250301030004,BASE,1-5-7,1-5-7,1-5-7,,5-1-7,5,21.3,7.8,popular_pos2,solo,other_pos2,92.64,92.0,88.9,,,
2025_03,3520250301030004,OH_HIGH,1-5-7,1-5-7,1-5-7,,5-1-7,5,21.3,7.8,popular_pos2,solo,other_pos2,92.64,92.0,88.9,,,
2025_03,4720250301030002,OH_HIGH,1-5-4,1-4-5,1-4-5,,1-5-4,1,32.4,32.4,popular_pos2,popular_pos3plus,other_head,84.44,80.63,81.72,,,
2025_03,4720250301030004,BASE,3-2-4,4-2-3,2-3-4,,2-3-4,2,363.7,200.8,other_head,other_pos2,popular_pos2,88.47,89.11,86.92,,,
2025_03,4720250301030004,OH_HIGH,3-2-4,4-2-3,2-3-4,,2-3-4,2,363.7,200.8,other_head,other_pos2,popular_pos2,88.47,89.11,86.92,,,
2025_04,3520250401030001,BASE,3-7-2,3-2-7,3-2-7,,3-7-2,3,18.6,18.6,popular_pos2,other_pos2,other_head,86.7,85.09,86.5,,,
2025_04,5620250401020003,BASE,5-2-1,2-1-5,1-2-5,,5-1-2,1,49.2,34.7,other_pos2,popular_pos2,other_pos2,91.62,93.85,95.65,,,
2025_04,5620250401020003,OH_HIGH,5-2-1,2-1-5,1-2-5,,5-1-2,1,49.2,34.7,other_pos2,popular_pos2,other_pos2,91.62,93.85,95.65,,,
2025_04,4220250401010003,OH_HIGH,1-5-2,2-1-4,1-2-5,,1-5-2,1,44.9,44.9,other_pos2,other_head,popular_pos2,87.58,81.16,85.54,,,
2025_04,7120250401010001,BASE,5-3-2,2-3-5,2-3-5,,2-5-3,2,269.8,151.6,popular_pos2,other_pos2,other_pos2,81.88,86.27,87.04,,,
2025_04,7120250401010001,OH_HIGH,5-3-2,2-3-5,2-3-5,,2-5-3,2,269.8,151.6,popular_pos2,other_pos2,other_pos2,81.88,86.27,87.04,,,
2025_06,3120250601030005,OH_HIGH,5-3-2,3-2-4,2-3-5,,3-2-5,3,78.8,22.2,other_pos2,popular_pos2,other_head,85.93,87.58,88.41,,,
