race_id,month,venue_slug,date,race_no,banum,rank
2120250501010011,2025_05,yahiko,2025-05-01,11,1,3
2120250501010011,2025_05,yahiko,2025-05-01,11,2,2
2120250501010011,2025_05,yahiko,2025-05-01,11,3,7
2120250501010011,2025_05,yahiko,2025-05-01,11,4,5
2120250501010011,2025_05,yahiko,2025-05-01,11,5,3
2120250501010011,2025_05,yahiko,2025-05-01,11,6,1
2120250501010011,2025_05,yahiko,2025-05-01,11,7,6
7420250803010002,2025_08,kochi,2025-08-03,2,1,4
7420250803010002,2025_08,kochi,2025-08-03,2,2,6
7420250803010002,2025_08,kochi,2025-08-03,2,3,3
7420250803010002,2025_08,kochi,2025-08-03,2,4,1
7420250803010002,2025_08,kochi,2025-08-03,2,5,1
7420250803010002,2025_08,kochi,2025-08-03,2,6,5
7420250803010002,2025_08,kochi,2025-08-03,2,7,7
6120251001020004,2025_10,tamano,2025-10-01,4,1,4
6120251001020004,2025_10,tamano,2025-10-01,4,2,1
6120251001020004,2025_10,tamano,2025-10-01,4,3,7
6120251001020004,2025_10,tamano,2025-10-01,4,4,6
6120251001020004,2025_10,tamano,2025-10-01,4,5,3
6120251001020004,2025_10,tamano,2025-10-01,4,6,5
6120251001020004,2025_10,tamano,2025-10-01,4,7,1
6220260228020004,2026_03,hiroshima,2026-03-01,4,1,1
6220260228020004,2026_03,hiroshima,2026-03-01,4,2,5
6220260228020004,2026_03,hiroshima,2026-03-01,4,3,4
6220260228020004,2026_03,hiroshima,2026-03-01,4,4,7
6220260228020004,2026_03,hiroshima,2026-03-01,4,5,6
6220260228020004,2026_03,hiroshima,2026-03-01,4,6,3
6220260228020004,2026_03,hiroshima,2026-03-01,4,7,1
2420260401010007,2026_04,utsunomiya,2026-04-01,7,1,3
2420260401010007,2026_04,utsunomiya,2026-04-01,7,2,1
2420260401010007,2026_04,utsunomiya,2026-04-01,7,3,4
2420260401010007,2026_04,utsunomiya,2026-04-01,7,4,2
2420260401010007,2026_04,utsunomiya,2026-04-01,7,5,7
2420260401010007,2026_04,utsunomiya,2026-04-01,7,6,5
2420260401010007,2026_04,utsunomiya,2026-04-01,7,7,6
5320260501010005,2026_05,nara,2026-05-01,5,1,4
5320260501010005,2026_05,nara,2026-05-01,5,2,1
5320260501010005,2026_05,nara,2026-05-01,5,3,3
5320260501010005,2026_05,nara,2026-05-01,5,4,5
5320260501010005,2026_05,nara,2026-05-01,5,5,6
5320260501010005,2026_05,nara,2026-05-01,5,6,7
5320260501010005,2026_05,nara,2026-05-01,5,7,2
5520260601010008,2026_06,wakayama,2026-06-01,8,1,7
5520260601010008,2026_06,wakayama,2026-06-01,8,2,5
5520260601010008,2026_06,wakayama,2026-06-01,8,3,2
5520260601010008,2026_06,wakayama,2026-06-01,8,4,1
5520260601010008,2026_06,wakayama,2026-06-01,8,5,3
5520260601010008,2026_06,wakayama,2026-06-01,8,6,6
5520260601010008,2026_06,wakayama,2026-06-01,8,7,4
1220260602010001,2026_06,aomori,2026-06-02,1,1,3
1220260602010001,2026_06,aomori,2026-06-02,1,2,6
1220260602010001,2026_06,aomori,2026-06-02,1,3,1
1220260602010001,2026_06,aomori,2026-06-02,1,4,5
