split,month,race_id,variant,target,head_bust,result_source,candidate_sets,orders,bets,actual,set_match,bet,bet_hit,stake,pay,reason
TRAIN,2025_05,8520250501030001,BASE,7,1.0,monthly,1-2-4,4-1-2,,4-6-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501030001,OH_EQ,7,1.0,monthly,1-2-4,4-1-2,,4-6-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501030001,OH_HIGH,7,1.0,monthly,1-2-4,4-1-2,,4-6-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501030001,OH_TOP,7,1.0,monthly,1-2-4,4-1-2,,4-6-1,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501010002,BASE,5,0.0,monthly,2-3-4,3-2-4,3-2-4,5-2-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501010002,OH_EQ,5,0.0,monthly,2-3-4,3-2-4,3-2-4,5-2-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501010002,OH_HIGH,5,0.0,monthly,2-3-4,3-2-4,3-2-4,5-2-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501010002,OH_TOP,5,0.0,monthly,2-3-4,3-2-4,3-2-4,5-2-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020002,BASE,6,0.0,monthly,1-2-7,1-7-2,1-7-2,3-6-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020002,OH_EQ,6,0.0,monthly,1-2-7,1-7-2,1-7-2,3-6-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020002,OH_HIGH,6,0.0,monthly,,,,3-6-1,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501020002,OH_TOP,6,0.0,monthly,,,,3-6-1,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030002,BASE,5,1.0,monthly,,,,3-1-4,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030002,OH_EQ,5,1.0,monthly,,,,3-1-4,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030002,OH_HIGH,5,1.0,monthly,,,,3-1-4,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030002,OH_TOP,5,1.0,monthly,,,,3-1-4,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030003,BASE,5,0.0,monthly,,,,6-5-1,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030003,OH_EQ,5,0.0,monthly,1-2-3,3-1-2,3-1-2,6-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501030003,OH_HIGH,5,0.0,monthly,1-2-3,3-1-2,3-1-2,6-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501030003,OH_TOP,5,0.0,monthly,1-2-3,3-1-2,3-1-2,6-5-1,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020004,BASE,4,0.0,monthly,1-3-7,3-7-1,,3-7-4,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501020004,OH_EQ,4,0.0,monthly,1-3-7,3-7-1,,3-7-4,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501020004,OH_HIGH,4,0.0,monthly,2-3-7,3-7-2,3-7-2,3-7-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020004,OH_TOP,4,0.0,monthly,2-3-7,3-7-2,3-7-2,3-7-4,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020005,BASE,5,1.0,monthly,1-2-7,7-1-2,7-1-2,7-4-3,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020005,OH_EQ,5,1.0,monthly,1-2-7|2-4-7,7-1-2|7-2-4,7-1-2|7-2-4,7-4-3,0.0,1,0.0,200,0,BET
TRAIN,2025_05,8520250501020005,OH_HIGH,5,1.0,monthly,2-4-7,7-2-4,7-2-4,7-4-3,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020005,OH_TOP,5,1.0,monthly,2-4-7,7-2-4,7-2-4,7-4-3,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501020006,BASE,6,1.0,monthly,,,,5-1-3,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501020006,OH_EQ,6,1.0,monthly,,,,5-1-3,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501020006,OH_HIGH,6,1.0,monthly,,,,5-1-3,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501020006,OH_TOP,6,1.0,monthly,,,,5-1-3,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501010007,BASE,7,1.0,monthly,,,,2-4-5,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_05,8520250501010007,OH_EQ,7,1.0,monthly,,,,2-4-5,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_05,8520250501010007,OH_HIGH,7,1.0,monthly,1-3-6,1-3-6,1-3-6,2-4-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501010007,OH_TOP,7,1.0,monthly,1-3-6,1-3-6,1-3-6,2-4-5,0.0,1,0.0,100,0,BET
TRAIN,2025_05,8520250501030007,BASE,6,1.0,monthly,,,,7-2-5,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030007,OH_EQ,6,1.0,monthly,,,,7-2-5,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,8520250501030007,OH_HIGH,6,1.0,monthly,2-4-7,7-2-4,,7-2-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,8520250501030007,OH_TOP,6,1.0,monthly,2-4-7,7-2-4,,7-2-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2420250501010001,BASE,1,0.0,monthly,2-3-6,2-3-6,2-3-6,2-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501010001,OH_EQ,1,0.0,monthly,2-3-6,2-3-6,2-3-6,2-1-7,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501010001,OH_HIGH,1,0.0,monthly,,,,2-1-7,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_05,2420250501010001,OH_TOP,1,0.0,monthly,2-3-4|2-3-5,2-3-4|2-3-5,2-3-4|2-3-5,2-1-7,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2420250501030001,BASE,5,1.0,monthly,1-2-3,1-2-3,1-2-3,4-3-2,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501030001,OH_EQ,5,1.0,monthly,,,,4-3-2,0.0,0,0.0,0,0,cannot_compress_multiple_ambiguities
TRAIN,2025_05,2420250501030001,OH_HIGH,5,1.0,monthly,,,,4-3-2,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,2420250501030001,OH_TOP,5,1.0,monthly,1-2-4|1-3-4,1-2-4|1-3-4,1-2-4|1-3-4,4-3-2,0.0,1,0.0,200,0,BET
TRAIN,2025_05,2420250501020002,BASE,6,0.0,monthly,1-2-3,1-2-3,1-2-3,5-1-6,0.0,1,0.0,100,0,BET
TRAIN,2025_05,2420250501020002,OH_EQ,6,0.0,monthly,,,,5-1-6,0.0,0,0.0,0,0,cannot_compress_third_slot_too_wide
TRAIN,2025_05,2420250501020002,OH_HIGH,6,0.0,monthly,1-3-4,1-3-4,,5-1-6,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2420250501020002,OH_TOP,6,0.0,monthly,,,,5-1-6,0.0,0,0.0,0,0,ranking_cycle
TRAIN,2025_05,2420250501010003,BASE,4,0.0,monthly,1-2-3,1-2-3,,1-4-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2420250501010003,OH_EQ,4,0.0,monthly,1-2-3,1-2-3,,1-4-5,0.0,0,0.0,0,0,odds_too_low
TRAIN,2025_05,2420250501010003,OH_HIGH,4,0.0,monthly,1-2-3,1-2-3,,1-4-5,0.0,0,0.0,0,0,odds_too_low
