race_id,date,venue,race_no,line,target,head_bust,result_source,candidate_sets,effective_scores,plus3_orders,bets,bet_odds,actual,set_match,order_match,bet_hit,stake,pay
4320260730030007,2026-08-01,gifu,7,4-1/2/3-5/6/7,3,1,monthly,1-5-7|1-2-5,1:91.66[tier2]|2:86.18[tier1]|5:89.40[tier4]|7:89.08[tier1],5-1-7|5-1-2,5-1-7|5-1-2,171.60|218.30,4-1-5,0,0,0,200,0
1320260731020001,2026-08-01,iwakitaira,1,7-1-4-6/5-2-3,7,0,monthly,1-4-5,1:86.27[tier4]|4:82.92[tier3]|5:85.16[tier1],1-4-5,1-4-5,46.50,1-4-7,0,0,0,100,0
1320260731020002,2026-08-01,iwakitaira,2,1-7/2-6/5-3-4,1,0,monthly,2-3-7,2:86.26[tier1]|3:84.22[tier2]|7:86.82[tier4],7-3-2,7-3-2,495.70,7-1-3,0,0,0,100,0
1320260731020003,2026-08-01,iwakitaira,3,1-5-3/4-2-7/6,4,1,monthly,1-2-5,1:91.28[tier1]|2:90.94[tier4]|5:95.73[tier2],5-2-1,5-2-1,354.60,5-6-2,0,0,0,100,0
1320260731020005,2026-08-01,iwakitaira,5,4-1-6/2/3-7-5,4,0,monthly,1-3-5,1:97.36[tier4]|3:92.90[tier1]|5:87.12[tier2],1-3-5,1-3-5,419.40,4-1-5,0,0,0,100,0
2720260731020002,2026-08-01,keiokaku,2,3-1/2-4/5-7/6,2,0,monthly,1-3-4|1-4-5,1:85.33[tier2]|3:84.05[tier1]|4:87.04[tier4]|5:82.22[tier1],4-1-3|4-1-5,4-1-3|4-1-5,206.80|562.70,2-5-4,0,0,0,200,0
2720260731020003,2026-08-01,keiokaku,3,7/2-6/3-5/1-4,1,0,monthly,2-3-4,2:86.58[tier1]|3:85.26[tier1]|4:87.42[tier4],4-2-3,4-2-3,910.00,1-7-2,0,0,0,100,0
7420260731020005,2026-08-01,kochi,5,4-1/3-2/7-5-6,3,1,monthly,1-2-5|1-2-6,1:94.50[tier2]|2:96.20[tier4]|5:84.16[tier2]|6:82.04[tier2],2-1-5|2-1-6,2-1-5|2-1-6,119.30|539.50,5-6-7,0,0,0,200,0
7420260731020006,2026-08-01,kochi,6,5-1-6/2-3/4/7,5,1,monthly,1-2-3,1:98.39[tier4]|2:93.15[tier1]|3:88.91[tier2],1-2-3,1-2-3,31.60,2-3-1,1,0,0,100,0
2120260730030001,2026-08-01,yahiko,1,7-2-5/1-4/6-3,1,1,monthly,2-4-5|2-3-4,2:89.46[tier2]|3:83.87[tier2]|4:88.38[tier4]|5:84.85[tier2],4-2-5|4-2-3,4-2-5|4-2-3,33.90|49.20,6-2-3,0,0,0,200,0
2120260730030002,2026-08-01,yahiko,2,1-7-4/5-2/6/3,1,0,monthly,4-5-7,4:83.33[tier3]|5:90.13[tier1]|7:92.33[tier4],7-5-4,7-5-4,32.10,7-5-1,0,0,0,100,0
2120260730030003,2026-08-01,yahiko,3,2-6-5/1/7-3-4,2,0,monthly,1-3-5,1:86.87[tier1]|3:85.62[tier2]|5:88.84[tier3],5-3-1,5-3-1,414.80,6-5-2,0,0,0,100,0
2120260730030004,2026-08-01,yahiko,4,1-4-7/2-5/3-6,1,0,monthly,3-4-5|2-4-5,2:86.96[tier1]|3:88.56[tier1]|4:89.50[tier4]|5:86.40[tier2],4-5-3|4-5-2,4-5-3|4-5-2,384.00|268.40,4-1-3,0,0,0,200,0
2120260730030011,2026-08-01,yahiko,11,2-1-7/3-5/4/6,2,1,monthly,1-5-7,1:94.00[tier4]|5:95.80[tier2]|7:97.52[tier3],7-1-5,7-1-5,477.20,4-7-6,0,0,0,100,0
1320260731030002,2026-08-02,iwakitaira,2,2-7-1/3-5/4-6,2,1,monthly,1-3-7|1-4-7,1:83.30[tier3]|3:85.16[tier1]|4:85.08[tier1]|7:93.53[tier4],7-1-3|7-1-4,7-1-3|7-1-4,41.60|62.90,4-1-5,0,0,0,200,0
1320260731030004,2026-08-02,iwakitaira,4,1-4-7/6/3-2-5,1,0,monthly,2-3-4,2:86.52[tier2]|3:91.28[tier1]|4:87.68[tier4],3-4-2,3-4-2,152.60,4-1-7,0,0,0,100,0
1320260731030011,2026-08-02,iwakitaira,11,1-7-4/5-2/6-3,1,0,monthly,3-4-7,3:96.52[tier2]|4:96.73[tier3]|7:97.36[tier4],7-4-3,7-4-3,155.40,7-4-1,0,0,0,100,0
2720260731030002,2026-08-02,keiokaku,2,5-1-6/3/2-7/4,5,0,monthly,1-2-3,1:90.33[tier4]|2:84.05[tier1]|3:84.04[tier1],1-2-3,1-2-3,87.10,3-6-5,0,0,0,100,0
2720260731030003,2026-08-02,keiokaku,3,4-3-7/1-5-2/6,4,0,monthly,1-2-3,1:85.33[tier1]|2:85.26[tier2]|3:88.20[tier4],3-2-1,3-2-1,163.80,4-1-5,0,0,0,100,0
2720260731030004,2026-08-02,keiokaku,4,2-1/5-3/7-4/6,2,1,monthly,1-3-4,1:92.61[tier4]|3:87.11[tier2]|4:86.55[tier2],1-3-4,1-3-4,129.20,5-4-3,0,0,0,100,0
7420260731030004,2026-08-02,kochi,4,7-1-6/3-5/4-2,7,0,monthly,1-2-3|1-2-4,1:98.39[tier4]|2:88.00[tier2]|3:87.14[tier1]|4:86.04[tier1],1-2-3|1-2-4,1-2-3,39.20,7-1-6,0,0,0,100,0
7420260731030005,2026-08-02,kochi,5,7-1/3-5/4-2-6,4,0,monthly,1-2-5,1:93.20[tier2]|2:89.82[tier4]|5:84.19[tier2],1-2-5,1-2-5,144.20,2-1-4,0,0,0,100,0
8520260731030001,2026-08-02,sasebo,1,4-5-2/6/3-1-7,3,0,monthly,1-2-5,1:87.59[tier4]|2:83.33[tier2]|5:86.05[tier2],1-5-2,1-5-2,166.90,3-1-5,0,0,0,100,0
8520260731030003,2026-08-02,sasebo,3,5-1-6/2-7/3-4,5,1,monthly,1-2-4|1-2-7,1:90.00[tier4]|2:95.81[tier1]|4:88.40[tier2]|7:86.16[tier2],2-1-4|2-1-7,2-1-4|2-1-7,147.30|45.30,4-2-7,0,0,0,200,0
6220260803020001,2026-08-04,hiroshima,1,2-6/1-5/4-3,1,0,repair,3-4-5,3:84.33[tier2]|4:83.33[tier1]|5:87.66[tier4],5-3-4,5-3-4,475.20,2-1-5,0,0,0,100,0
6220260803020003,2026-08-04,hiroshima,3,5-3-4/2/7-1-6,5,0,repair,1-3-4,1:85.55[tier2]|3:83.40[tier4]|4:83.24[tier3],3-4-1,3-4-1,87.20,5-4-3,0,0,0,100,0
6220260803020004,2026-08-04,hiroshima,4,7-1-3/6/4-2-5,4,0,repair,1-2-5,1:86.55[tier2]|2:83.84[tier4]|5:81.16[tier3],2-1-5,2-1-5,233.60,7-4-1,0,0,0,100,0
6220260803020005,2026-08-04,hiroshima,5,5-1/3-4-6/7-2,7,0,repair,1-2-4,1:98.17[tier2]|2:97.42[tier4]|4:90.08[tier2],2-1-4,2-1-4,164.30,7-2-1,0,0,0,100,0
6220260803020006,2026-08-04,hiroshima,6,4-1-5/7-2/3-6,4,0,repair,1-2-5,1:95.96[tier4]|2:94.88[tier2]|5:88.85[tier3],1-2-5,1-2-5,82.80,4-1-5,0,0,0,100,0
7320260804010003,2026-08-04,komatsushima,3,7-1/4-2/3-5/6,4,1,repair,1-2-3|2-3-5,1:83.37[tier2]|2:93.45[tier4]|3:88.28[tier1]|5:82.68[tier2],2-3-1|2-3-5,2-3-1,60.60,5-2-3,1,0,0,100,0
4220260804010001,2026-08-04,nagoya,1,1-7-4/2-5-3/6,1,0,repair,2-4-7,2:87.37[tier1]|4:85.33[tier3]|7:88.00[tier4],7-4-2,7-4-2,154.20,1-7-4,0,0,0,100,0
4220260804010002,2026-08-04,nagoya,2,5-2-3/6/1-4-7,1,0,repair,2-4-5,2:87.45[tier2]|4:90.03[tier4]|5:87.91[tier1],4-2-5,4-2-5,46.30,4-7-1,0,0,0,100,0
4220260804010003,2026-08-04,nagoya,3,5-1-6/4/2-7-3,5,0,repair,1-2-3|1-2-7,1:89.88[tier4]|2:90.47[tier1]|3:84.76[tier2]|7:81.80[tier2],1-2-3|1-2-7,1-2-3|1-2-7,390.70|257.30,1-5-6,0,0,0,200,0
4220260804010004,2026-08-04,nagoya,4,3-2-6/4/7-5-1,7,0,repair,1-3-5,1:86.94[tier3]|3:90.25[tier1]|5:91.04[tier4],5-3-1,5-3-1,59.30,7-5-3,0,0,0,100,0
2620260803020002,2026-08-04,seibuen,2,1-7/4/5-2/3-6,1,0,repair,2-3-7|2-5-7,2:81.26[tier2]|3:83.50[tier1]|5:82.72[tier1]|7:83.57[tier4],7-2-3|7-2-5,7-2-3|7-2-5,1270.10|997.10,3-1-6,0,0,0,200,0
2620260803020003,2026-08-04,seibuen,3,6-3/1-5/2-7/4,6,0,repair,2-3-7,2:92.88[tier1]|3:95.23[tier4]|7:87.70[tier2],3-2-7,3-2-7,94.30,5-4-6,0,0,0,100,0
2620260803020005,2026-08-04,seibuen,5,3-7/1-4/5-2-6,5,0,repair,2-3-7,2:97.20[tier4]|3:95.07[tier1]|7:96.94[tier2],2-7-3,2-7-3,285.40,5-7-3,0,0,0,100,0
4820260803020003,2026-08-04,yokkaichi,3,4-3-2/5-1/6/7,4,0,repair,1-2-3,1:85.37[tier2]|2:84.91[tier3]|3:86.77[tier4],3-2-1,3-2-1,47.40,4-6-1,0,0,0,100,0
4820260803020006,2026-08-04,yokkaichi,6,6-2-7/3-1/5-4,3,0,repair,1-2-4,1:96.95[tier4]|2:92.35[tier2]|4:88.75[tier2],1-2-4,1-2-4,300.80,6-3-2,0,0,0,100,0
6220260803030002,2026-08-05,hiroshima,2,1-3-7/4/6-5-2,1,0,repair,3-5-7,3:87.66[tier4]|5:85.55[tier2]|7:83.08[tier3],3-7-5,3-7-5,60.20,3-1-7,0,0,0,100,0
