race_id,date,actual,A_family,A_exact,A_overlap,A_changed,S0_family,S0_exact,S0_overlap,S0_changed,S1_family,S1_exact,S1_overlap,S1_changed,S3_family,S3_exact,S3_overlap,S3_changed
4320260730030007,2026-08-01,4-1-5,1-5-7|1-2-5,0,2,0,1-5-7|1-2-5,0,2,0,1-5-7|1-2-5,0,2,0,1-5-7|1-2-5,0,2,0
1320260731020003,2026-08-01,5-6-2,1-2-5,0,2,0,1-2-5,0,2,0,1-2-5,0,2,0,1-2-5,0,2,0
7420260731020005,2026-08-01,5-6-7,1-2-5|1-2-6,0,1,0,1-2-5|1-2-6,0,1,0,1-2-5|1-2-6,0,1,0,1-2-5|1-2-6,0,1,0
7420260731020006,2026-08-01,2-3-1,1-2-3,1,3,0,1-2-3,1,3,0,1-2-3,1,3,0,1-2-3,1,3,0
2120260730030001,2026-08-01,6-2-3,2-4-5|2-3-4,0,2,0,2-4-5|2-3-4,0,2,0,2-4-5|2-3-4,0,2,0,2-4-5|2-3-4,0,2,0
2120260730030011,2026-08-01,4-7-6,1-5-7,0,1,0,3-5-7,0,1,1,3-5-7,0,1,1,3-5-7,0,1,1
1320260731030002,2026-08-02,4-1-5,1-3-7|1-4-7,0,2,0,1-3-7|1-4-7,0,2,0,1-3-7|1-4-7,0,2,0,1-3-7|1-4-7,0,2,0
2720260731030004,2026-08-02,5-4-3,1-3-4,0,2,0,1-3-4,0,2,0,1-3-4,0,2,0,1-3-4,0,2,0
8520260731030003,2026-08-02,4-2-7,1-2-4|1-2-7,0,2,0,2-3-4|2-3-7,0,2,1,2-3-4|2-3-7,0,2,1,2-3-4|2-3-7,0,2,1
7320260804010003,2026-08-04,5-2-3,1-2-3|2-3-5,1,3,0,1-2-3|2-3-5,1,3,0,1-2-3|2-3-5,1,3,0,1-2-3|2-3-5,1,3,0
6220260803030004,2026-08-05,1-3-5,1-3-5,1,3,0,1-2-5,0,2,1,1-2-5,0,2,1,1-2-5,0,2,1
6220260803030005,2026-08-05,2-3-7,2-3-7,1,3,0,2-3-7,1,3,0,2-3-7,1,3,0,2-3-7,1,3,0
7320260804020002,2026-08-05,2-7-1,1-2-7,1,3,0,1-2-7,1,3,0,1-2-7,1,3,0,1-2-7,1,3,0
7320260804020004,2026-08-05,4-5-1,1-5-7,0,2,0,1-5-7,0,2,0,1-4-5,1,3,1,1-4-5,1,3,1
4220260804020002,2026-08-05,3-5-1,1-3-7,0,2,0,1-3-5,1,3,1,1-3-5,1,3,1,1-3-5,1,3,1
4220260804020004,2026-08-05,2-6-5,2-3-5,0,2,0,2-3-5,0,2,0,2-3-5,0,2,0,2-3-5,0,2,0
