race_id,date,venue,race_no,line,target,result_source,actual,head_bust,A_family,A_exact,A_overlap,A_changed,S0_family,S0_exact,S0_overlap,S0_changed,S1_family,S1_exact,S1_overlap,S1_changed,S3_family,S3_exact,S3_overlap,S3_changed
1120260701010002,2026-07-01,hakodate,2,3-4-6/7-5/2-1,3,repair,5-4-3,0,1-2-4,0,1,0,1-2-4,0,1,0,1-2-4,0,1,0,1-2-4,0,1,0
1120260701010003,2026-07-01,hakodate,3,5-3-6/7/2-1-4,2,repair,2-1-3,0,1-3-4,0,2,0,1-3-4,0,2,0,1-3-4,0,2,0,1-3-4,0,2,0
1120260701010005,2026-07-01,hakodate,5,2-1/4-3/6-5-7,2,repair,1-2-4,0,1-3-5|1-3-7,0,1,0,1-3-5|1-3-7,0,1,0,1-3-5|1-3-7,0,1,0,1-3-5|1-3-7,0,1,0
1120260701010006,2026-07-01,hakodate,6,5-2/7/4/1-3-6,1,repair,1-3-6,0,2-3-4,0,1,0,2-3-4,0,1,0,2-3-4,0,1,0,2-3-4,0,1,0
3520260630020005,2026-07-01,hiratsuka,5,1-5-6/2-4/7-3,2,repair,1-5-2,0,3-4-7,0,0,0,3-4-7,0,0,0,3-4-7,0,0,0,3-4-7,0,0,0
3120260701010001,2026-07-01,matsudo,1,1-3-5/6-2-4/7,1,repair,6-2-7,1,2-3-5,0,1,0,2-3-5,0,1,0,2-3-5,0,1,0,2-5-6,0,2,1
2520260701010001,2026-07-01,omiya,1,6-3-1/2-5-4/7,6,repair,6-3-7,0,2-3-5,0,1,0,2-3-5,0,1,0,2-3-5,0,1,0,2-3-5,0,1,0
2520260701010003,2026-07-01,omiya,3,4-1-5/6-2/3-7,4,repair,5-3-4,0,1-3-5,0,2,0,1-3-5,0,2,0,1-3-5,0,2,0,1-3-5,0,2,0
8420260629030001,2026-07-01,takeo,1,1-5-7/3/2-4/6,1,repair,5-7-1,0,3-5-7,0,2,0,3-5-7,0,2,0,3-5-7,0,2,0,3-5-7,0,2,0
8420260629030003,2026-07-01,takeo,3,7-3/2/4-5-1/6,4,repair,2-4-7,0,1-2-5,0,1,0,1-2-7,0,2,1,1-2-7,0,2,1,1-2-7,0,2,1
4520260630020001,2026-07-01,toyohashi,1,4-2/5/6-3/1-7,4,repair,3-7-5,1,2-3-5,0,2,0,2-3-5,0,2,0,2-3-5,0,2,0,1-3-5,0,2,1
4520260630020002,2026-07-01,toyohashi,2,1-6/3/4-2-5,4,repair,4-2-1,0,1-2-6,0,2,0,1-2-6,0,2,0,1-2-6,0,2,0,1-2-6,0,2,0
4520260630020003,2026-07-01,toyohashi,3,5-1-6/3/7/2/4,5,repair,1-2-5,0,1-3-7,0,1,0,1-3-7,0,1,0,1-3-7,0,1,0,1-3-7,0,1,0
1120260701020005,2026-07-02,hakodate,5,3-2-4/7/6-1-5,3,repair,3-1-5,0,1-2-4,0,1,0,1-2-4,0,1,0,1-2-4,0,1,0,1-2-4,0,1,0
1120260701020007,2026-07-02,hakodate,7,4-2-6/5-1/3-7,4,repair,4-2-5,0,1-2-6,0,1,0,1-2-6,0,1,0,1-2-6,0,1,0,1-2-6,0,1,0
3520260630030002,2026-07-02,hiratsuka,2,5-1/3-4/7-2-6,7,repair,7-2-3,0,1-2-3,0,2,0,1-2-3,0,2,0,1-2-3,0,2,0,1-2-3,0,2,0
3520260630030010,2026-07-02,hiratsuka,10,1-5/2-7-4/3/6,1,repair,3-4-5,1,3-4-5,1,3,0,2-3-4,0,2,1,2-3-4,0,2,1,2-3-4,0,2,1
3120260701020001,2026-07-02,matsudo,1,3-1-4/5/6-2-7,3,repair,3-1-5,0,1-2-4,0,1,0,1-2-4,0,1,0,1-2-4,0,1,0,1-2-4,0,1,0
3120260701020006,2026-07-02,matsudo,6,1-4/2-3-5/6-7,2,repair,4-3-7,1,1-3-5,0,1,0,1-3-5,0,1,0,1-3-5,0,1,0,1-3-5,0,1,0
5320260701020002,2026-07-02,nara,2,1-7/4-2-5/6-3,4,repair,2-5-7,1,2-5-7,1,3,0,1-5-7,0,2,1,1-5-7,0,2,1,1-5-7,0,2,1
5320260701020003,2026-07-02,nara,3,7-1-6/4-3/5/2,7,repair,1-7-6,0,1-3-4,0,1,0,1-3-4,0,1,0,1-3-4,0,1,0,1-3-4,0,1,0
2520260701020005,2026-07-02,omiya,5,7-1-5/2-6/3-4,3,repair,3-4-2,0,1-4-5,0,1,0,1-4-5,0,1,0,1-4-5,0,1,0,1-4-5,0,1,0
4520260630030001,2026-07-02,toyohashi,1,7-1-4/3/5-2-6,5,repair,7-4-5,0,1-2-3|2-3-4,0,1,0,1-2-3|2-3-4,0,1,0,1-2-3|2-3-4,0,1,0,1-3-7|3-4-7,0,2,1
4520260630030003,2026-07-02,toyohashi,3,7-3-4/6-2/1/5,6,repair,3-5-2,1,2-4-7,0,1,0,2-4-7,0,1,0,2-4-7,0,1,0,2-4-7,0,1,0
4520260630030005,2026-07-02,toyohashi,5,3-7-1/2-5-4/6,3,repair,7-1-3,0,1-5-7|1-4-7,0,2,0,1-5-7|1-4-7,0,2,0,1-5-7|1-4-7,0,2,0,1-5-7|1-4-7,0,2,0
