race_id,venue_slug,date,race_no,banum,rank
1120260701010002,hakodate,2026-07-01,2,1,4
1120260701010002,hakodate,2026-07-01,2,2,7
1120260701010002,hakodate,2026-07-01,2,3,3
1120260701010002,hakodate,2026-07-01,2,4,2
1120260701010002,hakodate,2026-07-01,2,5,1
1120260701010002,hakodate,2026-07-01,2,6,6
1120260701010002,hakodate,2026-07-01,2,7,5
1120260701010003,hakodate,2026-07-01,3,1,2
1120260701010003,hakodate,2026-07-01,3,2,1
1120260701010003,hakodate,2026-07-01,3,3,3
1120260701010003,hakodate,2026-07-01,3,4,5
1120260701010003,hakodate,2026-07-01,3,5,4
1120260701010003,hakodate,2026-07-01,3,6,6
1120260701010003,hakodate,2026-07-01,3,7,7
1120260701010005,hakodate,2026-07-01,5,1,1
1120260701010005,hakodate,2026-07-01,5,2,2
1120260701010005,hakodate,2026-07-01,5,3,4
1120260701010005,hakodate,2026-07-01,5,4,3
1120260701010005,hakodate,2026-07-01,5,5,5
1120260701010005,hakodate,2026-07-01,5,6,6
1120260701010005,hakodate,2026-07-01,5,7,7
1120260701010006,hakodate,2026-07-01,6,1,1
1120260701010006,hakodate,2026-07-01,6,2,6
1120260701010006,hakodate,2026-07-01,6,3,2
1120260701010006,hakodate,2026-07-01,6,4,5
1120260701010006,hakodate,2026-07-01,6,5,7
1120260701010006,hakodate,2026-07-01,6,6,3
1120260701010006,hakodate,2026-07-01,6,7,4
3520260630020005,hiratsuka,2026-07-01,5,1,1
3520260630020005,hiratsuka,2026-07-01,5,2,3
3520260630020005,hiratsuka,2026-07-01,5,3,5
3520260630020005,hiratsuka,2026-07-01,5,4,7
3520260630020005,hiratsuka,2026-07-01,5,5,2
3520260630020005,hiratsuka,2026-07-01,5,6,4
3520260630020005,hiratsuka,2026-07-01,5,7,6
3120260701010001,matsudo,2026-07-01,1,1,5
3120260701010001,matsudo,2026-07-01,1,2,2
3120260701010001,matsudo,2026-07-01,1,3,4
3120260701010001,matsudo,2026-07-01,1,4,7
3120260701010001,matsudo,2026-07-01,1,5,6
3120260701010001,matsudo,2026-07-01,1,6,1
3120260701010001,matsudo,2026-07-01,1,7,3
2520260701010001,omiya,2026-07-01,1,1,5
2520260701010001,omiya,2026-07-01,1,2,4
2520260701010001,omiya,2026-07-01,1,3,2
2520260701010001,omiya,2026-07-01,1,4,7
2520260701010001,omiya,2026-07-01,1,5,6
2520260701010001,omiya,2026-07-01,1,6,1
2520260701010001,omiya,2026-07-01,1,7,3
2520260701010003,omiya,2026-07-01,3,1,4
2520260701010003,omiya,2026-07-01,3,2,7
2520260701010003,omiya,2026-07-01,3,3,2
2520260701010003,omiya,2026-07-01,3,4,3
2520260701010003,omiya,2026-07-01,3,5,1
2520260701010003,omiya,2026-07-01,3,6,6
2520260701010003,omiya,2026-07-01,3,7,5
8420260629030001,takeo,2026-07-01,1,1,3
8420260629030001,takeo,2026-07-01,1,2,7
8420260629030001,takeo,2026-07-01,1,3,4
8420260629030001,takeo,2026-07-01,1,4,5
8420260629030001,takeo,2026-07-01,1,5,1
8420260629030001,takeo,2026-07-01,1,6,6
8420260629030001,takeo,2026-07-01,1,7,2
8420260629030003,takeo,2026-07-01,3,1,7
8420260629030003,takeo,2026-07-01,3,2,1
8420260629030003,takeo,2026-07-01,3,3,4
8420260629030003,takeo,2026-07-01,3,4,2
8420260629030003,takeo,2026-07-01,3,5,6
8420260629030003,takeo,2026-07-01,3,6,5
8420260629030003,takeo,2026-07-01,3,7,3
4520260630020001,toyohashi,2026-07-01,1,1,6
4520260630020001,toyohashi,2026-07-01,1,2,4
4520260630020001,toyohashi,2026-07-01,1,3,1
4520260630020001,toyohashi,2026-07-01,1,4,7
4520260630020001,toyohashi,2026-07-01,1,5,3
4520260630020001,toyohashi,2026-07-01,1,6,5
4520260630020001,toyohashi,2026-07-01,1,7,2
4520260630020002,toyohashi,2026-07-01,2,1,3
4520260630020002,toyohashi,2026-07-01,2,2,2
4520260630020002,toyohashi,2026-07-01,2,3,5
4520260630020002,toyohashi,2026-07-01,2,4,1
4520260630020002,toyohashi,2026-07-01,2,5,4
4520260630020002,toyohashi,2026-07-01,2,6,6
4520260630020003,toyohashi,2026-07-01,3,1,1
4520260630020003,toyohashi,2026-07-01,3,2,2
4520260630020003,toyohashi,2026-07-01,3,3,7
4520260630020003,toyohashi,2026-07-01,3,4,6
4520260630020003,toyohashi,2026-07-01,3,5,3
4520260630020003,toyohashi,2026-07-01,3,6,5
4520260630020003,toyohashi,2026-07-01,3,7,4
1120260701020005,hakodate,2026-07-02,5,1,2
1120260701020005,hakodate,2026-07-02,5,2,5
1120260701020005,hakodate,2026-07-02,5,3,1
1120260701020005,hakodate,2026-07-02,5,4,7
1120260701020005,hakodate,2026-07-02,5,5,3
1120260701020005,hakodate,2026-07-02,5,6,6
1120260701020005,hakodate,2026-07-02,5,7,4
1120260701020007,hakodate,2026-07-02,7,1,4
1120260701020007,hakodate,2026-07-02,7,2,2
1120260701020007,hakodate,2026-07-02,7,3,7
1120260701020007,hakodate,2026-07-02,7,4,1
1120260701020007,hakodate,2026-07-02,7,5,3
1120260701020007,hakodate,2026-07-02,7,6,5
1120260701020007,hakodate,2026-07-02,7,7,6
3520260630030002,hiratsuka,2026-07-02,2,1,6
3520260630030002,hiratsuka,2026-07-02,2,2,2
3520260630030002,hiratsuka,2026-07-02,2,3,3
3520260630030002,hiratsuka,2026-07-02,2,4,4
3520260630030002,hiratsuka,2026-07-02,2,5,5
