month,context_full_races,bet_races,head_bust_races,head_bust_rate_pct,head_bust_set_exact_races,trifecta_order_matches,trifecta_hits,stake_yen,payout_yen,profit_yen,roi_pct,cumulative_context_full_races,cumulative_bet_races,cumulative_head_bust_races,cumulative_head_bust_set_exact_races,cumulative_trifecta_order_matches,cumulative_trifecta_hits,cumulative_stake_yen,cumulative_payout_yen,cumulative_profit_yen,cumulative_head_bust_rate_pct,cumulative_set_exact_given_bust_pct,cumulative_roi_pct
2025-05,78,24,8,33.333333333333336,0,0,0,2500,0,-2500,0.0,78,24,8,0,0,0,2500,0,-2500,33.333333333333336,0.0,0.0
2025-06,79,34,14,41.1764705882353,4,1,1,3700,4640,940,125.4054054054054,157,58,22,4,1,1,6200,4640,-1560,37.93103448275862,18.181818181818183,74.83870967741936
2025-07,78,40,19,47.5,3,0,0,4600,0,-4600,0.0,235,98,41,7,1,1,10800,4640,-6160,41.83673469387755,17.073170731707318,42.96296296296296
2025-08,80,31,11,35.483870967741936,2,0,0,3300,0,-3300,0.0,315,129,52,9,1,1,14100,4640,-9460,40.310077519379846,17.307692307692307,32.90780141843972
2025-09,80,29,15,51.724137931034484,2,0,0,3200,0,-3200,0.0,395,158,67,11,1,1,17300,4640,-12660,42.40506329113924,16.417910447761194,26.820809248554912
2025-10,62,23,6,26.08695652173913,0,0,0,2700,0,-2700,0.0,457,181,73,11,1,1,20000,4640,-15360,40.331491712707184,15.068493150684931,23.2
2025-11,78,29,11,37.93103448275862,0,0,0,3300,0,-3300,0.0,535,210,84,11,1,1,23300,4640,-18660,40.0,13.095238095238095,19.914163090128756
2025-12,77,36,13,36.111111111111114,2,0,0,4200,0,-4200,0.0,612,246,97,13,1,1,27500,4640,-22860,39.43089430894309,13.402061855670103,16.87272727272727
2026-01,79,37,18,48.648648648648646,4,0,0,4300,0,-4300,0.0,691,283,115,17,1,1,31800,4640,-27160,40.63604240282685,14.782608695652174,14.59119496855346
2026-02,79,36,7,19.444444444444443,1,0,0,4300,0,-4300,0.0,770,319,122,18,1,1,36100,4640,-31460,38.244514106583075,14.754098360655737,12.853185595567867
2026-03,79,32,10,31.25,1,0,0,3400,0,-3400,0.0,849,351,132,19,1,1,39500,4640,-34860,37.60683760683761,14.393939393939394,11.746835443037975
2026-04,78,38,17,44.73684210526316,2,0,0,4300,0,-4300,0.0,927,389,149,21,1,1,43800,4640,-39160,38.303341902313626,14.093959731543624,10.593607305936073
2026-05,65,27,8,29.62962962962963,1,1,1,3000,3350,350,111.66666666666667,992,416,157,22,2,2,46800,7990,-38810,37.74038461538461,14.012738853503185,17.072649572649574
2026-06,75,35,17,48.57142857142857,2,1,1,3900,4410,510,113.07692307692308,1067,451,174,24,3,3,50700,12400,-38300,38.58093126385809,13.793103448275861,24.45759368836292
