race_id,date,venue,race_no,line,target,ranking,candidates,actual,head_bust,top3_set_match,detail
4320260730030007,2026-08-01,gifu,7,4-1/2/3-5/6/7,3,1-5-7-2-4-6,1-5-7|1-5-2,4-1-5,1.0,0,"1:s=91.66,L=1,p=2,t=2,mr=1,fin=2 | 2:s=86.18,L=2,p=1,t=1,mr=4,fin=4 | 3:s=86.06,L=3,p=1,t=1,mr=X,fin=7 | 4:s=81.17,L=1,p=1,t=1,mr=5,fin=1 | 5:s=86.40,L=3,p=2,t=4,mr=2,fin=3 | 6:s=80.45,L=4,p=1,t=1,mr=6,fin=6 | 7:s=89.08,L=5,p=1,t=1,mr=3,fin=5"
1320260731020001,2026-08-01,iwakitaira,1,7-1-4-6/5-2-3,7,1-5-4-2-3-6,1-5-4,1-4-7,0.0,0,"1:s=83.27,L=1,p=2,t=4,mr=1,fin=1 | 2:s=81.72,L=2,p=2,t=2,mr=4,fin=4 | 3:s=73.29,L=2,p=3,t=2,mr=5,fin=6 | 4:s=81.92,L=1,p=3,t=3,mr=3,fin=2 | 5:s=85.16,L=2,p=1,t=1,mr=2,fin=7 | 6:s=70.00,L=1,p=4,t=3,mr=6,fin=5 | 7:s=84.23,L=1,p=1,t=1,mr=X,fin=3"
1320260731020002,2026-08-01,iwakitaira,2,1-7/2-6/5-3-4,1,7-3-2-4-5-6,7-3-2,7-1-3,0.0,0,"1:s=85.08,L=1,p=1,t=1,mr=X,fin=2 | 2:s=86.26,L=2,p=1,t=1,mr=3,fin=7 | 3:s=84.22,L=3,p=2,t=2,mr=2,fin=3 | 4:s=82.30,L=3,p=3,t=2,mr=4,fin=5 | 5:s=83.85,L=3,p=1,t=1,mr=5,fin=4 | 6:s=75.88,L=2,p=2,t=2,mr=6,fin=6 | 7:s=83.82,L=1,p=2,t=4,mr=1,fin=1"
1320260731020003,2026-08-01,iwakitaira,3,1-5-3/4-2-7/6,4,5-1-2-7-3-6,5-1-2,5-6-2,1.0,0,"1:s=91.28,L=1,p=1,t=1,mr=2,fin=4 | 2:s=87.94,L=2,p=2,t=4,mr=3,fin=3 | 3:s=87.42,L=1,p=3,t=2,mr=5,fin=5 | 4:s=95.54,L=2,p=1,t=1,mr=X,fin=7 | 5:s=95.73,L=1,p=2,t=2,mr=1,fin=1 | 6:s=85.55,L=3,p=1,t=1,mr=6,fin=2 | 7:s=87.50,L=2,p=3,t=3,mr=4,fin=6"
1320260731020005,2026-08-01,iwakitaira,5,4-1-6/2/3-7-5,4,1-3-5-6-7-2,1-3-5,4-1-5,0.0,0,"1:s=94.36,L=1,p=2,t=4,mr=1,fin=2 | 2:s=81.80,L=2,p=1,t=1,mr=6,fin=6 | 3:s=92.90,L=3,p=1,t=1,mr=2,fin=5 | 4:s=93.00,L=1,p=1,t=1,mr=X,fin=1 | 5:s=87.12,L=3,p=3,t=2,mr=3,fin=3 | 6:s=81.73,L=1,p=3,t=3,mr=4,fin=7 | 7:s=84.68,L=3,p=2,t=2,mr=5,fin=4"
2720260731020002,2026-08-01,keiokaku,2,3-1/2-4/5-7/6,2,4-1-3-5-7-6,4-1-3|4-1-5,2-5-4,0.0,0,"1:s=85.33,L=1,p=2,t=2,mr=2,fin=5 | 2:s=85.30,L=2,p=1,t=1,mr=X,fin=1 | 3:s=84.05,L=1,p=1,t=1,mr=3,fin=4 | 4:s=84.04,L=2,p=2,t=4,mr=1,fin=3 | 5:s=82.22,L=3,p=1,t=1,mr=4,fin=2 | 6:s=80.72,L=4,p=1,t=1,mr=6,fin=6 | 7:s=78.31,L=3,p=2,t=2,mr=5,fin=7"
2720260731020003,2026-08-01,keiokaku,3,7/2-6/3-5/1-4,1,4-2-3-5-6-7,4-2-3|4-3-2,1-7-2,0.0,0,"1:s=88.14,L=4,p=1,t=1,mr=X,fin=1 | 2:s=86.58,L=2,p=1,t=1,mr=2,fin=3 | 3:s=85.26,L=3,p=1,t=1,mr=3,fin=6 | 4:s=84.42,L=4,p=2,t=4,mr=1,fin=7 | 5:s=81.65,L=3,p=2,t=2,mr=4,fin=5 | 6:s=78.25,L=2,p=2,t=2,mr=5,fin=4 | 7:s=76.41,L=1,p=1,t=1,mr=6,fin=2"
7420260731020005,2026-08-01,kochi,5,4-1/3-2/7-5-6,3,2-1-5-6-4-7,2-1-5|2-1-6,5-6-7,1.0,0,"1:s=94.50,L=1,p=2,t=2,mr=2,fin=7 | 2:s=93.20,L=2,p=2,t=4,mr=1,fin=6 | 3:s=87.14,L=2,p=1,t=1,mr=X,fin=5 | 4:s=84.37,L=1,p=1,t=1,mr=5,fin=4 | 5:s=84.16,L=3,p=2,t=2,mr=3,fin=1 | 6:s=82.04,L=3,p=3,t=2,mr=4,fin=2 | 7:s=79.66,L=3,p=1,t=1,mr=6,fin=3"
7420260731020006,2026-08-01,kochi,6,5-1-6/2-3/4/7,5,1-2-3-6-4-7,1-2-3,2-3-1,1.0,1,"1:s=95.39,L=1,p=2,t=4,mr=1,fin=3 | 2:s=93.15,L=2,p=1,t=1,mr=2,fin=1 | 3:s=88.91,L=2,p=2,t=2,mr=3,fin=2 | 4:s=86.82,L=3,p=1,t=1,mr=5,fin=6 | 5:s=86.04,L=1,p=1,t=1,mr=X,fin=5 | 6:s=84.19,L=1,p=3,t=3,mr=4,fin=4 | 7:s=83.63,L=4,p=1,t=1,mr=6,fin=7"
2120260730030001,2026-08-01,yahiko,1,7-2-5/1-4/6-3,1,2-4-5-3-7-6,2-4-5|2-4-3,6-2-3,1.0,0,"1:s=82.38,L=2,p=1,t=1,mr=X,fin=4 | 2:s=89.46,L=1,p=2,t=2,mr=1,fin=2 | 3:s=83.87,L=3,p=2,t=2,mr=4,fin=3 | 4:s=85.38,L=2,p=2,t=4,mr=2,fin=7 | 5:s=84.85,L=1,p=3,t=2,mr=3,fin=6 | 6:s=79.53,L=3,p=1,t=1,mr=6,fin=1 | 7:s=81.46,L=1,p=1,t=1,mr=5,fin=5"
