race_id,date,venue_slug,race_no,true_line,action,reason,popular_line,target,market_mass,ranking,ambiguity,candidate_orders,bets,bet_odds,bet_count,head_bust,top3_set_match,candidate_order_match,trifecta_hit,cost,pay,actual_order
4320260730030004,2026-08-01,gifu,4,6-1-4/2/7-5/3,SKIP,odds_too_low,1.0,6.0,0.9387348299900388,1-4-3-5-7-2,fixed,1-4-3,,,0,1.0,0,0,0,0,0,3-2-1
4320260730030005,2026-08-01,gifu,5,1/5-4/2/3-7/6,SKIP,target_score_plus_3,2.0,5.0,0.2097154685466988,,,,,,0,1.0,0,0,0,0,0,1-6-3
4320260730030007,2026-08-01,gifu,7,4-1/2/3-5/6/7,BET,eligible,3.0,3.0,0.6727748659928522,1-5-7-2-4-6,third_slot,1-5-7|1-5-2,1-5-2|1-5-7,166.90|91.00,2,1.0,0,0,0,200,0,4-1-5
4320260730030008,2026-08-01,gifu,8,4-7-2/1/3-6/5,SKIP,odds_board_incomplete,,,,,,,,,0,,0,0,0,0,0,4-7-6
4320260730030011,2026-08-01,gifu,11,4-1/6-2/3-5/7,SKIP,odds_too_low,3.0,3.0,0.35670935170653933,2-7-5-4-1-6,fixed,2-7-5,,,0,1.0,1,0,0,0,0,5-2-7
1320260731020001,2026-08-01,iwakitaira,1,7-1-4-6/5-2-3,BET,eligible,1.0,7.0,0.9783159355869627,1-5-4-2-3-6,fixed,1-5-4,1-5-4,43.90,1,0.0,0,0,0,100,0,1-4-7
1320260731020002,2026-08-01,iwakitaira,2,1-7/2-6/5-3-4,BET,eligible,1.0,1.0,0.5727794711669468,7-3-2-4-5-6,fixed,7-3-2,7-3-2,495.70,1,0.0,0,0,0,100,0,7-1-3
1320260731020003,2026-08-01,iwakitaira,3,1-5-3/4-2-7/6,BET,eligible,2.0,4.0,0.8412877458995046,5-1-2-7-3-6,fixed,5-1-2,5-1-2,159.20,1,1.0,0,0,0,100,0,5-6-2
1320260731020004,2026-08-01,iwakitaira,4,6-1/4-7-2/3-5,SKIP,odds_board_incomplete,,,,,,,,,0,,0,0,0,0,0,6-1-3
1320260731020005,2026-08-01,iwakitaira,5,4-1-6/2/3-7-5,BET,eligible,1.0,4.0,1.1585719534610543,1-3-5-6-7-2,fixed,1-3-5,1-3-5,419.40,1,0.0,0,0,0,100,0,4-1-5
2720260731020001,2026-08-01,keiokaku,1,1-2-7/6-3/4/5,SKIP,target_score_plus_3,1.0,1.0,0.822199602865559,,,,,,0,0.0,0,0,0,0,0,1-3-6
2720260731020002,2026-08-01,keiokaku,2,3-1/2-4/5-7/6,BET,eligible,2.0,2.0,0.5822257724955757,4-1-3-5-7-6,third_slot,4-1-3|4-1-5,4-1-5|4-1-3,562.70|206.80,2,0.0,0,0,0,200,0,2-5-4
