race_id,date,venue,race_no,line,target,result_source,head_bust,ranking,ambiguity,candidate_orders,natural_priority_order,bets,bet_odds,actual,set_match,natural_order_match,candidate_order_match,bet_order_match,stake,pay
4320260730030007,2026-08-01,gifu,7,4-1/2/3-5/6/7,3,monthly,1,1-5-7-2-4-6,third_slot,1-5-7|1-5-2,1-5-7,1-5-2|1-5-7,166.90|91.00,4-1-5,0,0,0,0,200,0
1320260731020001,2026-08-01,iwakitaira,1,7-1-4-6/5-2-3,7,monthly,0,1-5-4-2-3-6,fixed,1-5-4,1-5-4,1-5-4,43.90,1-4-7,0,0,0,0,100,0
1320260731020002,2026-08-01,iwakitaira,2,1-7/2-6/5-3-4,1,monthly,0,7-3-2-4-5-6,fixed,7-3-2,7-3-2,7-3-2,495.70,7-1-3,0,0,0,0,100,0
1320260731020003,2026-08-01,iwakitaira,3,1-5-3/4-2-7/6,4,monthly,1,5-1-2-7-3-6,fixed,5-1-2,5-1-2,5-1-2,159.20,5-6-2,0,0,0,0,100,0
1320260731020005,2026-08-01,iwakitaira,5,4-1-6/2/3-7-5,4,monthly,0,1-3-5-6-7-2,fixed,1-3-5,1-3-5,1-3-5,419.40,4-1-5,0,0,0,0,100,0
2720260731020002,2026-08-01,keiokaku,2,3-1/2-4/5-7/6,2,monthly,0,4-1-3-5-7-6,third_slot,4-1-3|4-1-5,4-1-3,4-1-5|4-1-3,562.70|206.80,2-5-4,0,0,0,0,200,0
2720260731020003,2026-08-01,keiokaku,3,7/2-6/3-5/1-4,1,monthly,0,4-2-3-5-6-7,order_bc,4-2-3|4-3-2,4-2-3,4-3-2,1902.80,1-7-2,0,0,0,0,100,0
7420260731020005,2026-08-01,kochi,5,4-1/3-2/7-5-6,3,monthly,1,2-1-5-6-4-7,third_slot,2-1-5|2-1-6,2-1-5,2-1-6|2-1-5,539.50|119.30,5-6-7,0,0,0,0,200,0
7420260731020006,2026-08-01,kochi,6,5-1-6/2-3/4/7,5,monthly,1,1-2-3-6-4-7,fixed,1-2-3,1-2-3,1-2-3,31.60,2-3-1,1,0,0,0,100,0
2120260730030001,2026-08-01,yahiko,1,7-2-5/1-4/6-3,1,monthly,1,2-4-5-3-7-6,third_slot,2-4-5|2-4-3,2-4-5,2-4-3|2-4-5,93.00|57.80,6-2-3,0,0,0,0,200,0
2120260730030002,2026-08-01,yahiko,2,1-7-4/5-2/6/3,1,monthly,0,7-5-4-2-3-6,fixed,7-5-4,7-5-4,7-5-4,32.10,7-5-1,0,0,0,0,100,0
