race_id,date,venue,race_no,line,target,head_bust,actual,A_exact,A_overlap,B_exact,B_overlap,C_exact,C_overlap,C_unique,A_n,C_n
4320260730030007,2026-08-01,gifu,7,4-1/2/3-5/6/7,3,1,4-1-5,0,2,0,2,1,3,0,2,4
1320260731020001,2026-08-01,iwakitaira,1,7-1-4-6/5-2-3,7,0,1-4-7,0,2,0,2,0,2,1,1,1
1320260731020002,2026-08-01,iwakitaira,2,1-7/2-6/5-3-4,1,0,7-1-3,0,2,0,1,0,2,0,1,3
1320260731020003,2026-08-01,iwakitaira,3,1-5-3/4-2-7/6,4,1,5-6-2,0,2,0,2,0,2,0,1,2
1320260731020005,2026-08-01,iwakitaira,5,4-1-6/2/3-7-5,4,0,4-1-5,0,2,0,2,0,2,0,1,2
2720260731020002,2026-08-01,keiokaku,2,3-1/2-4/5-7/6,2,0,2-5-4,0,2,0,1,0,1,1,2,1
2720260731020003,2026-08-01,keiokaku,3,7/2-6/3-5/1-4,1,0,1-7-2,0,1,0,1,0,0,1,1,1
7420260731020005,2026-08-01,kochi,5,4-1/3-2/7-5-6,3,1,5-6-7,0,1,0,0,0,2,0,2,3
7420260731020006,2026-08-01,kochi,6,5-1-6/2-3/4/7,5,1,2-3-1,1,3,1,3,0,2,1,1,1
2120260730030001,2026-08-01,yahiko,1,7-2-5/1-4/6-3,1,1,6-2-3,0,2,0,1,0,2,0,2,3
2120260730030002,2026-08-01,yahiko,2,1-7-4/5-2/6/3,1,0,7-5-1,0,2,0,2,0,1,1,1,1
2120260730030003,2026-08-01,yahiko,3,2-6-5/1/7-3-4,2,0,6-5-2,0,1,0,1,0,2,0,1,2
2120260730030004,2026-08-01,yahiko,4,1-4-7/2-5/3-6,1,0,4-1-3,0,2,0,2,0,1,0,2,2
2120260730030011,2026-08-01,yahiko,11,2-1-7/3-5/4/6,2,1,4-7-6,0,1,0,2,0,1,1,1,1
1320260731030002,2026-08-02,iwakitaira,2,2-7-1/3-5/4-6,2,1,4-1-5,0,2,0,1,0,2,0,2,2
1320260731030004,2026-08-02,iwakitaira,4,1-4-7/6/3-2-5,1,0,4-1-7,0,1,0,1,0,2,0,1,2
1320260731030011,2026-08-02,iwakitaira,11,1-7-4/5-2/6-3,1,0,7-4-1,0,2,0,2,0,2,0,1,2
2720260731030002,2026-08-02,keiokaku,2,5-1-6/3/2-7/4,5,0,3-6-5,0,1,0,1,0,1,1,1,1
2720260731030003,2026-08-02,keiokaku,3,4-3-7/1-5-2/6,4,0,4-1-5,0,1,0,1,0,1,0,1,2
2720260731030004,2026-08-02,keiokaku,4,2-1/5-3/7-4/6,2,1,5-4-3,0,2,0,2,0,2,1,1,1
7420260731030004,2026-08-02,kochi,4,7-1-6/3-5/4-2,7,0,7-1-6,0,1,0,1,0,2,0,2,2
7420260731030005,2026-08-02,kochi,5,7-1/3-5/4-2-6,4,0,2-1-4,0,2,0,2,0,2,0,1,2
8520260731030001,2026-08-02,sasebo,1,4-5-2/6/3-1-7,3,0,3-1-5,0,2,0,2,0,2,0,1,2
8520260731030003,2026-08-02,sasebo,3,5-1-6/2-7/3-4,5,1,4-2-7,0,2,0,2,0,1,0,2,2
