race_id,date,venue,race_no,rank_values,san_ren_tan
6220260803020001,2026-08-04,hiroshima,1,nan|nan|nan|nan|nan|nan,
6220260803020003,2026-08-04,hiroshima,3,nan|nan|nan|nan|nan|nan|nan,
6220260803020004,2026-08-04,hiroshima,4,nan|nan|nan|nan|nan|nan|nan,
6220260803020005,2026-08-04,hiroshima,5,nan|nan|nan|nan|nan|nan|nan,
6220260803020006,2026-08-04,hiroshima,6,nan|nan|nan|nan|nan|nan|nan,
7320260804010003,2026-08-04,komatsushima,3,nan|nan|nan|nan|nan|nan|nan,
4220260804010001,2026-08-04,nagoya,1,nan|nan|nan|nan|nan|nan|nan,
4220260804010002,2026-08-04,nagoya,2,nan|nan|nan|nan|nan|nan|nan,
4220260804010003,2026-08-04,nagoya,3,nan|nan|nan|nan|nan|nan|nan,
4220260804010004,2026-08-04,nagoya,4,nan|nan|nan|nan|nan|nan|nan,
2620260803020002,2026-08-04,seibuen,2,nan|nan|nan|nan|nan|nan|nan,
2620260803020003,2026-08-04,seibuen,3,nan|nan|nan|nan|nan|nan|nan,
2620260803020005,2026-08-04,seibuen,5,nan|nan|nan|nan|nan|nan|nan,
4820260803020003,2026-08-04,yokkaichi,3,nan|nan|nan|nan|nan|nan|nan,
4820260803020006,2026-08-04,yokkaichi,6,nan|nan|nan|nan|nan|nan|nan,
6220260803030002,2026-08-05,hiroshima,2,nan|nan|nan|nan|nan|nan|nan,
6220260803030004,2026-08-05,hiroshima,4,nan|nan|nan|nan|nan|nan|nan,
6220260803030005,2026-08-05,hiroshima,5,nan|nan|nan|nan|nan|nan|nan,
7320260804020001,2026-08-05,komatsushima,1,nan|nan|nan|nan|nan|nan|nan,
7320260804020002,2026-08-05,komatsushima,2,nan|nan|nan|nan|nan|nan|nan,
7320260804020003,2026-08-05,komatsushima,3,nan|nan|nan|nan|nan|nan|nan,
7320260804020004,2026-08-05,komatsushima,4,nan|nan|nan|nan|nan|nan|nan,
4220260804020001,2026-08-05,nagoya,1,nan|nan|nan|nan|nan|nan|nan,
4220260804020002,2026-08-05,nagoya,2,nan|nan|nan|nan|nan|nan|nan,
4220260804020003,2026-08-05,nagoya,3,nan|nan|nan|nan|nan|nan|nan,
4220260804020004,2026-08-05,nagoya,4,nan|nan|nan|nan|nan|nan|nan,
