race_id,date,venue,race_no,line,target,result_source,head_bust,actual,A_candidates,A_exact,A_overlap,B_set,B_exact,B_overlap,C_n,C_exact,C_overlap,C_unique
4320260730030007,2026-08-01,gifu,7,4-1/2/3-5/6/7,3,monthly,1,4-1-5,1-5-7|1-5-2,0,2,1-5-7,0,2,4,1,3,0
1320260731020001,2026-08-01,iwakitaira,1,7-1-4-6/5-2-3,7,monthly,0,1-4-7,1-5-4,0,2,1-4-5,0,2,1,0,2,1
1320260731020002,2026-08-01,iwakitaira,2,1-7/2-6/5-3-4,1,monthly,0,7-1-3,7-3-2,0,2,2-3-5,0,1,3,0,2,0
1320260731020003,2026-08-01,iwakitaira,3,1-5-3/4-2-7/6,4,monthly,1,5-6-2,5-1-2,0,2,1-2-5,0,2,2,0,2,0
1320260731020005,2026-08-01,iwakitaira,5,4-1-6/2/3-7-5,4,monthly,0,4-1-5,1-3-5,0,2,1-3-5,0,2,2,0,2,0
2720260731020002,2026-08-01,keiokaku,2,3-1/2-4/5-7/6,2,monthly,0,2-5-4,4-1-3|4-1-5,0,2,1-3-4,0,1,1,0,1,1
2720260731020003,2026-08-01,keiokaku,3,7/2-6/3-5/1-4,1,monthly,0,1-7-2,4-2-3|4-3-2,0,1,2-3-4,0,1,1,0,0,1
7420260731020005,2026-08-01,kochi,5,4-1/3-2/7-5-6,3,monthly,1,5-6-7,2-1-5|2-1-6,0,1,1-2-4,0,0,3,0,2,0
7420260731020006,2026-08-01,kochi,6,5-1-6/2-3/4/7,5,monthly,1,2-3-1,1-2-3,1,3,1-2-3,1,3,1,0,2,1
2120260730030001,2026-08-01,yahiko,1,7-2-5/1-4/6-3,1,monthly,1,6-2-3,2-4-5|2-4-3,0,2,2-4-5,0,1,3,0,2,0
2120260730030002,2026-08-01,yahiko,2,1-7-4/5-2/6/3,1,monthly,0,7-5-1,7-5-4,0,2,4-5-7,0,2,1,0,1,1
2120260730030003,2026-08-01,yahiko,3,2-6-5/1/7-3-4,2,monthly,0,6-5-2,5-3-1,0,1,1-3-5,0,1,2,0,2,0
2120260730030004,2026-08-01,yahiko,4,1-4-7/2-5/3-6,1,monthly,0,4-1-3,4-5-3|4-5-2,0,2,2-3-4,0,2,2,0,1,0
2120260730030011,2026-08-01,yahiko,11,2-1-7/3-5/4/6,2,monthly,1,4-7-6,7-5-1,0,1,4-5-7,0,2,1,0,1,1
1320260731030002,2026-08-02,iwakitaira,2,2-7-1/3-5/4-6,2,monthly,1,4-1-5,7-1-3|7-1-4,0,2,3-4-7,0,1,2,0,2,0
1320260731030004,2026-08-02,iwakitaira,4,1-4-7/6/3-2-5,1,monthly,0,4-1-7,3-4-2,0,1,2-3-4,0,1,2,0,2,0
1320260731030011,2026-08-02,iwakitaira,11,1-7-4/5-2/6-3,1,monthly,0,7-4-1,7-4-3,0,2,3-4-7,0,2,2,0,2,0
2720260731030002,2026-08-02,keiokaku,2,5-1-6/3/2-7/4,5,monthly,0,3-6-5,1-2-3|1-3-2,0,1,1-2-3,0,1,1,0,1,1
2720260731030003,2026-08-02,keiokaku,3,4-3-7/1-5-2/6,4,monthly,0,4-1-5,3-2-1,0,1,1-2-3,0,1,2,0,1,0
2720260731030004,2026-08-02,keiokaku,4,2-1/5-3/7-4/6,2,monthly,1,5-4-3,1-3-4|1-4-3,0,2,1-3-4,0,2,1,0,2,1
7420260731030004,2026-08-02,kochi,4,7-1-6/3-5/4-2,7,monthly,0,7-1-6,1-2-3|1-2-4,0,1,1-2-3,0,1,2,0,2,0
7420260731030005,2026-08-02,kochi,5,7-1/3-5/4-2-6,4,monthly,0,2-1-4,1-2-5,0,2,1-2-3,0,2,2,0,2,0
8520260731030001,2026-08-02,sasebo,1,4-5-2/6/3-1-7,3,monthly,0,3-1-5,1-5-2|1-2-5,0,2,1-2-5,0,2,2,0,2,0
8520260731030003,2026-08-02,sasebo,3,5-1-6/2-7/3-4,5,monthly,1,4-2-7,2-1-4|2-1-7,0,2,2-3-4,0,2,2,0,1,0
6220260803020001,2026-08-04,hiroshima,1,2-6/1-5/4-3,1,repair,0,2-1-5,5-3-4,0,1,3-4-5,0,1,1,0,1,1
6220260803020003,2026-08-04,hiroshima,3,5-3-4/2/7-1-6,5,repair,0,5-4-3,1-3-4,0,2,1-4-7,0,1,2,0,2,0
6220260803020004,2026-08-04,hiroshima,4,7-1-3/6/4-2-5,4,repair,0,7-4-1,1-2-5,0,1,1-2-7,0,2,2,0,1,0
6220260803020005,2026-08-04,hiroshima,5,5-1/3-4-6/7-2,7,repair,0,7-2-1,1-2-4,0,2,1-2-4,0,2,3,0,2,0
6220260803020006,2026-08-04,hiroshima,6,4-1-5/7-2/3-6,4,repair,0,4-1-5,1-2-5,0,2,1-2-5,0,2,2,0,2,0
7320260804010003,2026-08-04,komatsushima,3,7-1/4-2/3-5/6,4,repair,1,5-2-3,2-3-1|2-3-5,1,3,1-2-3,0,2,1,0,2,1
4220260804010001,2026-08-04,nagoya,1,1-7-4/2-5-3/6,1,repair,0,1-7-4,7-2-4,0,2,2-4-7,0,2,2,0,2,0
4220260804010002,2026-08-04,nagoya,2,5-2-3/6/1-4-7,1,repair,0,4-7-1,4-2-5,0,1,2-4-5,0,1,2,0,2,0
