race_id,date,venue,race_no,line,target,result_source,head_bust,candidate_sets,orders,bets,bet_odds,actual,set_match,order_match,bet_hit,stake,pay
1120260701010002,2026-07-01,hakodate,2,3-4-6/7-5/2-1,3,repair,0,1-2-4,1-4-2,1-4-2,53.40,5-4-3,0,0,0,100,0
1120260701010003,2026-07-01,hakodate,3,5-3-6/7/2-1-4,2,repair,0,1-3-4,1-3-4,1-3-4,50.50,2-1-3,0,0,0,100,0
1120260701010005,2026-07-01,hakodate,5,2-1/4-3/6-5-7,2,repair,0,1-3-5|1-3-7,1-3-5|1-3-7,1-3-5|1-3-7,116.10|380.60,1-2-4,0,0,0,200,0
1120260701010006,2026-07-01,hakodate,6,5-2/7/4/1-3-6,1,repair,0,2-3-4,3-2-4,3-2-4,1011.90,1-3-6,0,0,0,100,0
3520260630020005,2026-07-01,hiratsuka,5,1-5-6/2-4/7-3,2,repair,0,3-4-7,4-7-3,4-7-3,74.70,1-5-2,0,0,0,100,0
3120260701010001,2026-07-01,matsudo,1,1-3-5/6-2-4/7,1,repair,1,2-3-5,3-2-5,3-2-5,310.00,6-2-7,0,0,0,100,0
2520260701010001,2026-07-01,omiya,1,6-3-1/2-5-4/7,6,repair,0,2-3-5,3-5-2,3-5-2,104.70,6-3-7,0,0,0,100,0
2520260701010003,2026-07-01,omiya,3,4-1-5/6-2/3-7,4,repair,0,1-3-5,1-3-5,,,5-3-4,0,0,0,0,0
8420260629030001,2026-07-01,takeo,1,1-5-7/3/2-4/6,1,repair,0,3-5-7,5-3-7,5-3-7,103.10,5-7-1,0,0,0,100,0
8420260629030003,2026-07-01,takeo,3,7-3/2/4-5-1/6,4,repair,0,1-2-5,2-5-1,2-5-1,105.20,2-4-7,0,0,0,100,0
4520260630020001,2026-07-01,toyohashi,1,4-2/5/6-3/1-7,4,repair,1,2-3-5,2-5-3,,,3-7-5,0,0,0,0,0
4520260630020002,2026-07-01,toyohashi,2,1-6/3/4-2-5,4,repair,0,1-2-6,6-1-2,6-1-2,98.60,4-2-1,0,0,0,100,0
4520260630020003,2026-07-01,toyohashi,3,5-1-6/3/7/2/4,5,repair,0,1-3-7,1-3-7,1-3-7,54.50,1-2-5,0,0,0,100,0
1120260701020005,2026-07-02,hakodate,5,3-2-4/7/6-1-5,3,repair,0,1-2-4,2-1-4,2-1-4,58.40,3-1-5,0,0,0,100,0
1120260701020007,2026-07-02,hakodate,7,4-2-6/5-1/3-7,4,repair,0,1-2-6,1-2-6,1-2-6,381.40,4-2-5,0,0,0,100,0
3520260630030002,2026-07-02,hiratsuka,2,5-1/3-4/7-2-6,7,repair,0,1-2-3,2-3-1,2-3-1,123.00,7-2-3,0,0,0,100,0
3520260630030010,2026-07-02,hiratsuka,10,1-5/2-7-4/3/6,1,repair,1,3-4-5,3-4-5,3-4-5,166.50,3-4-5,1,1,1,100,16650
3120260701020001,2026-07-02,matsudo,1,3-1-4/5/6-2-7,3,repair,0,1-2-4,1-2-4,1-2-4,102.60,3-1-5,0,0,0,100,0
3120260701020006,2026-07-02,matsudo,6,1-4/2-3-5/6-7,2,repair,1,1-3-5,3-1-5,3-1-5,121.30,4-3-7,0,0,0,100,0
5320260701020002,2026-07-02,nara,2,1-7/4-2-5/6-3,4,repair,1,2-5-7,7-2-5,7-2-5,139.40,2-5-7,1,0,0,100,0
5320260701020003,2026-07-02,nara,3,7-1-6/4-3/5/2,7,repair,0,1-3-4,1-4-3,1-4-3,127.30,1-7-6,0,0,0,100,0
2520260701020005,2026-07-02,omiya,5,7-1-5/2-6/3-4,3,repair,0,1-4-5,4-1-5,4-1-5,247.60,3-4-2,0,0,0,100,0
4520260630030001,2026-07-02,toyohashi,1,7-1-4/3/5-2-6,5,repair,0,1-2-3|2-3-4,2-3-1|2-3-4,2-3-1|2-3-4,139.00|280.30,7-4-5,0,0,0,200,0
4520260630030003,2026-07-02,toyohashi,3,7-3-4/6-2/1/5,6,repair,1,2-4-7,4-2-7,4-2-7,548.80,3-5-2,0,0,0,100,0
4520260630030005,2026-07-02,toyohashi,5,3-7-1/2-5-4/6,3,repair,0,1-5-7|1-4-7,7-1-5|7-1-4,7-1-4,52.00,7-1-3,0,0,0,100,0
