month,period,race_id,trio_key,ticket,odds,market_p,actual_hit,return_units,role_set,odds_rank_ascending
2025_05,2025_H1,1120250519010009,1-2-5,5-1-2,26.7,0.028016546233230057,0,0.0,BANTE+BANTE+ESCAPE_HEAD,1
2025_05,2025_H1,1120250519010009,1-2-5,5-2-1,59.9,0.012488176701623412,0,0.0,BANTE+BANTE+ESCAPE_HEAD,2
2025_05,2025_H1,1120250519010009,1-2-5,1-5-2,122.3,0.006116449586486037,0,0.0,BANTE+BANTE+ESCAPE_HEAD,3
2025_05,2025_H1,1120250519010009,1-2-5,1-2-5,357.5,0.0020924245718244544,0,0.0,BANTE+BANTE+ESCAPE_HEAD,4
2025_05,2025_H1,1120250519010009,1-2-5,2-5-1,633.3,0.0011811807743995618,0,0.0,BANTE+BANTE+ESCAPE_HEAD,5
2025_05,2025_H1,1120250519010009,1-2-5,2-1-5,783.7,0.0009545001715289555,0,0.0,BANTE+BANTE+ESCAPE_HEAD,6
2025_05,2025_H1,1120250519010011,2-4-7,2-7-4,69.5,0.010782028948915721,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+ESCAPE_HEAD,1
2025_05,2025_H1,1120250519010011,2-4-7,7-2-4,92.2,0.008127451322664236,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+ESCAPE_HEAD,2
2025_05,2025_H1,1120250519010011,2-4-7,2-4-7,95.4,0.007854832410373611,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+ESCAPE_HEAD,3
2025_05,2025_H1,1120250519010011,2-4-7,7-4-2,142.2,0.005269697693035462,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+ESCAPE_HEAD,4
2025_05,2025_H1,1120250519010011,2-4-7,4-2-7,173.6,0.0043165380872675265,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+ESCAPE_HEAD,5
2025_05,2025_H1,1120250519010011,2-4-7,4-7-2,186.4,0.004020123454665465,0,0.0,ESCAPE_HEAD+ESCAPE_HEAD+ESCAPE_HEAD,6
2025_05,2025_H1,1120250519020007,1-3-7,3-7-1,21.5,0.03480775713480158,0,0.0,BANTE+BANTE+OTHER_HEAD,1
2025_05,2025_H1,1120250519020007,1-3-7,7-3-1,28.0,0.02672738494279407,0,0.0,BANTE+BANTE+OTHER_HEAD,2
2025_05,2025_H1,1120250519020007,1-3-7,7-1-3,35.4,0.021140304474526386,0,0.0,BANTE+BANTE+OTHER_HEAD,3
2025_05,2025_H1,1120250519020007,1-3-7,3-1-7,117.4,0.006374504074942368,0,0.0,BANTE+BANTE+OTHER_HEAD,4
2025_05,2025_H1,1120250519020007,1-3-7,1-7-3,210.7,0.0035518119525307736,0,0.0,BANTE+BANTE+OTHER_HEAD,5
2025_05,2025_H1,1120250519020007,1-3-7,1-3-7,348.4,0.002148010270947859,0,0.0,BANTE+BANTE+OTHER_HEAD,6
2025_05,2025_H1,1120250519020008,1-2-5,2-5-1,39.2,0.019099985828769737,0,0.0,BANTE+SOLO+THIRD_PLUS,1
2025_05,2025_H1,1120250519020008,1-2-5,2-1-5,52.1,0.014370814673469744,0,0.0,BANTE+SOLO+THIRD_PLUS,2
2025_05,2025_H1,1120250519020008,1-2-5,5-1-2,70.3,0.010650347716753538,0,0.0,BANTE+SOLO+THIRD_PLUS,3
2025_05,2025_H1,1120250519020008,1-2-5,1-5-2,93.2,0.008033470434418172,0,0.0,BANTE+SOLO+THIRD_PLUS,4
2025_05,2025_H1,1120250519020008,1-2-5,5-2-1,98.0,0.007639994331507895,0,0.0,BANTE+SOLO+THIRD_PLUS,5
2025_05,2025_H1,1120250519020008,1-2-5,1-2-5,156.1,0.004796408997359217,0,0.0,BANTE+SOLO+THIRD_PLUS,6
2025_05,2025_H1,1120250519020009,1-2-5,1-5-2,3.6,0.20780222045239108,0,0.0,BANTE+BANTE+OTHER_HEAD,1
2025_05,2025_H1,1120250519020009,1-2-5,1-2-5,12.8,0.05844437450223499,0,0.0,BANTE+BANTE+OTHER_HEAD,2
2025_05,2025_H1,1120250519020009,1-2-5,5-1-2,27.9,0.0268131897357924,0,0.0,BANTE+BANTE+OTHER_HEAD,3
2025_05,2025_H1,1120250519020009,1-2-5,2-1-5,50.5,0.014813623636210057,0,0.0,BANTE+BANTE+OTHER_HEAD,4
2025_05,2025_H1,1120250519020009,1-2-5,2-5-1,101.3,0.007384876541249831,0,0.0,BANTE+BANTE+OTHER_HEAD,5
2025_05,2025_H1,1120250519020009,1-2-5,5-2-1,126.9,0.005895098452550101,0,0.0,BANTE+BANTE+OTHER_HEAD,6
2025_05,2025_H1,1120250519020010,1-5-7,1-5-7,8.4,0.08912944623830685,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,1
2025_05,2025_H1,1120250519020010,1-5-7,1-7-5,14.4,0.05199217697234566,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,2
2025_05,2025_H1,1120250519020010,1-5-7,5-1-7,32.0,0.023396479637555548,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,3
2025_05,2025_H1,1120250519020010,1-5-7,7-1-5,38.3,0.019547972543127352,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,4
2025_05,2025_H1,1120250519020010,1-5-7,7-5-1,92.1,0.00812907001522017,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,5
2025_05,2025_H1,1120250519020010,1-5-7,5-7-1,102.1,0.007332882942230927,0,0.0,BANTE+ESCAPE_HEAD+OTHER_HEAD,6
2025_05,2025_H1,1120250519030005,2-3-4,2-4-3,26.9,0.027853496139706207,0,0.0,SOLO+SOLO+SOLO,1
2025_05,2025_H1,1120250519030005,2-3-4,2-3-4,56.9,0.01316799729627587,0,0.0,SOLO+SOLO+SOLO,2
2025_05,2025_H1,1120250519030005,2-3-4,4-2-3,80.6,0.00929601794240815,0,0.0,SOLO+SOLO+SOLO,3
2025_05,2025_H1,1120250519030005,2-3-4,3-2-4,95.0,0.007886937327979966,0,0.0,SOLO+SOLO+SOLO,4
2025_05,2025_H1,1120250519030005,2-3-4,4-3-2,157.2,0.00476627891958077,0,0.0,SOLO+SOLO+SOLO,5
2025_05,2025_H1,1120250519030005,2-3-4,3-4-2,181.0,0.004139552741204955,0,0.0,SOLO+SOLO+SOLO,6
2025_05,2025_H1,1120250519030006,1-4-5,5-1-4,8.9,0.08414443307029917,0,0.0,SOLO+SOLO+SOLO,1
