month,race_id,variant,actual,orders,bets,cause,permutation,predicted_same_set_order
2025_06,1120250602020001,BASE,1-3-2,2-1-3|2-1-4,2-1-3|2-1-4,order_model,rotate_231,2-1-3
2025_06,8320250602020007,BASE,1-3-2,1-3-2,1-3-2,hit,exact,1-3-2
2025_06,8320250602020011,BASE,2-1-5,5-1-2,5-1-2,order_model,swap_1_3,5-1-2
2025_06,4620250603020007,BASE,5-2-1,1-5-2,1-5-2,order_model,rotate_231,1-5-2
2025_07,4220250701010001,BASE,1-5-2,1-2-5,1-2-5,order_model,swap_2_3,1-2-5
2025_07,2820250702030002,BASE,1-3-4,1-4-3,1-4-3,order_model,swap_2_3,1-4-3
2025_07,8620250704020003,BASE,7-2-4,7-4-2,7-4-2,order_model,swap_2_3,7-4-2
2025_08,2120250801010007,BASE,5-2-7,7-2-5,7-2-5,order_model,swap_1_3,7-2-5
2025_08,7420250803020004,BASE,2-4-1,2-1-4,2-1-4,order_model,swap_2_3,2-1-4
2025_09,2220250901020007,BASE,2-6-1,2-1-6,2-1-6,order_model,swap_2_3,2-1-6
2025_09,3420250903030001,BASE,3-7-1,1-3-7|1-3-2,1-3-2,order_model,rotate_231,1-3-7
2025_12,4220251201010002,BASE,4-3-1,3-4-1,3-4-1,order_model,swap_1_2,3-4-1
2025_12,8120251203010005,BASE,4-3-2,2-3-4,2-3-4,order_model,swap_1_3,2-3-4
2026_01,2420260101010005,BASE,7-3-1,1-5-7|1-7-3,1-5-7|1-7-3,order_model,rotate_231,1-7-3
2026_01,4320260102010004,BASE,4-3-1,3-1-4,3-1-4,order_model,rotate_312,3-1-4
2026_01,6220251231030007,BASE,5-3-7,7-3-5,7-3-5,order_model,swap_1_3,7-3-5
2026_01,5620251231030004,BASE,3-1-5,1-5-3,1-5-3,order_model,rotate_312,1-5-3
2026_02,3620260130030004,BASE,3-7-1,1-7-3|1-7-4,1-7-3|1-7-4,order_model,swap_1_3,1-7-3
2026_03,5620260301010003,BASE,2-5-1,2-1-5,2-1-5,order_model,swap_2_3,2-1-5
2026_04,5620260401030001,BASE,2-5-3,5-2-3,5-2-3,order_model,swap_1_2,5-2-3
2026_04,5620260401030008,BASE,1-5-7,1-7-5,1-7-5,order_model,swap_2_3,1-7-5
2026_05,1120260430030003,BASE,7-3-1,7-3-1,7-3-1,hit,exact,7-3-1
2026_06,3820260531030007,BASE,3-2-5,2-5-3|2-5-4,2-5-3|2-5-4,order_model,rotate_312,2-5-3
2026_06,4220260601030002,BASE,4-1-2,4-1-2|4-3-2,4-1-2|4-3-2,hit,exact,4-1-2
2025_02,4420250201010009,BASE,3-7-2,3-2-7,3-2-7,order_model,swap_2_3,3-2-7
2025_03,4720250301030004,BASE,3-2-4,4-2-3,4-2-3,order_model,swap_1_3,4-2-3
2025_04,3520250401030001,BASE,3-7-2,3-2-7,3-2-7,order_model,swap_2_3,3-2-7
2025_04,5620250401020003,BASE,5-2-1,2-1-5,2-1-5,order_model,rotate_312,2-1-5
2025_04,7120250401010001,BASE,5-3-2,2-3-5,2-3-5,order_model,swap_1_3,2-3-5
2025_06,3120250601030005,OH_HIGH,5-3-2,3-2-4|3-2-5,3-2-4,order_model,rotate_312,3-2-5
2025_06,8320250602020011,OH_HIGH,2-1-5,5-1-2,5-1-2,order_model,swap_1_3,5-1-2
2025_07,4220250701010001,OH_HIGH,1-5-2,1-2-4|1-2-5,1-2-4|1-2-5,order_model,swap_2_3,1-2-5
2025_07,8620250704020003,OH_HIGH,7-2-4,7-4-2,7-4-2,order_model,swap_2_3,7-4-2
2025_08,2120250801010007,OH_HIGH,5-2-7,7-2-5,7-2-5,order_model,swap_1_3,7-2-5
2025_08,7420250803030001,OH_HIGH,7-3-1,3-1-7|3-1-4,3-1-4,order_model,rotate_312,3-1-7
2025_08,7420250803020004,OH_HIGH,2-4-1,2-1-4,2-1-4,order_model,swap_2_3,2-1-4
2025_08,2220250803020001,OH_HIGH,2-4-1,1-2-4|1-2-5,1-2-4|1-2-5,order_model,rotate_231,1-2-4
2025_08,2220250803020003,OH_HIGH,4-1-5,1-4-5,1-4-5,order_model,swap_1_2,1-4-5
2025_09,1220250901010002,OH_HIGH,5-7-1,7-1-5,7-1-5,order_model,rotate_312,7-1-5
