month,race_id,product,selected_set,actual,stake,pay,hit
2024_01,3520240101030001,MKT1,2-3-7,1-4-3,100,0,0
2024_01,3520240101030001,BOX6,2-3-7,1-4-3,600,0,0
2024_01,3520240101030001,TRIO,2-3-7,1-4-3,100,0,0
2024_01,3520240101010002,MKT1,4-5-7,5-7-4,100,0,0
2024_01,3520240101010002,BOX6,4-5-7,5-7-4,600,3960,1
2024_01,3520240101010002,TRIO,4-5-7,5-7-4,100,680,1
2024_01,3520240101020002,MKT1,2-5-7,6-5-3,100,0,0
2024_01,3520240101020002,BOX6,2-5-7,6-5-3,600,0,0
2024_01,3520240101020002,TRIO,2-5-7,6-5-3,100,0,0
2024_01,3520240101030002,MKT1,2-5-7,5-2-1,100,0,0
2024_01,3520240101030002,BOX6,2-5-7,5-2-1,600,0,0
2024_01,3520240101030002,TRIO,2-5-7,5-2-1,100,0,0
2024_01,3520240101040002,MKT1,1-3-5,5-4-2,100,0,0
2024_01,3520240101040002,BOX6,1-3-5,5-4-2,600,0,0
2024_01,3520240101040002,TRIO,1-3-5,5-4-2,100,0,0
2024_01,3520240101010003,MKT1,1-4-7,4-1-3,100,0,0
2024_01,3520240101010003,BOX6,1-4-7,4-1-3,600,0,0
2024_01,3520240101010003,TRIO,1-4-7,4-1-3,100,0,0
2024_01,3520240101020003,MKT1,3-4-5,3-4-6,100,0,0
2024_01,3520240101020003,BOX6,3-4-5,3-4-6,600,0,0
2024_01,3520240101020003,TRIO,3-4-5,3-4-6,100,0,0
2024_01,3520240101030003,MKT1,1-2-5,2-7-1,100,0,0
2024_01,3520240101030003,BOX6,1-2-5,2-7-1,600,0,0
2024_01,3520240101030003,TRIO,1-2-5,2-7-1,100,0,0
2024_01,3520240101020004,MKT1,1-2-5,2-5-1,100,0,0
2024_01,3520240101020004,BOX6,1-2-5,2-5-1,600,500,1
2024_01,3520240101020004,TRIO,1-2-5,2-5-1,100,340,1
2024_01,3520240101030004,MKT1,1-5-7,7-5-4,100,0,0
2024_01,3520240101030004,BOX6,1-5-7,7-5-4,600,0,0
2024_01,3520240101030004,TRIO,1-5-7,7-5-4,100,0,0
2024_01,3520240101040004,MKT1,1-3-7,6-1-2,100,0,0
2024_01,3520240101040004,BOX6,1-3-7,6-1-2,600,0,0
2024_01,3520240101040004,TRIO,1-3-7,6-1-2,100,0,0
2024_01,3520240101030005,MKT1,3-5-7,3-2-7,100,0,0
2024_01,3520240101030005,BOX6,3-5-7,3-2-7,600,0,0
2024_01,3520240101030005,TRIO,3-5-7,3-2-7,100,0,0
